dataset,column,dtype,column_role,row_count,non_null_count,missing_count,missing_pct,unique_values,unique_ratio,top_value,top_value_share_pct
loan_information,user_id,int64,identifier,134417,134417,0,0.0,133752,0.995053,3166625,0.0015
loan_information,loan_category,object,categorical_feature,134417,134417,0,0.0,7,5.2e-05,Consolidation,60.162
loan_information,amount,float64,numeric_feature,134417,106798,27619,20.5473,86157,0.806729,0.0,0.0178
loan_information,interest_rate,float64,numeric_feature,134417,134417,0,0.0,137,0.001019,10.95,4.0925
loan_information,tenure_years,int64,numeric_feature,134417,134417,0,0.0,2,1.5e-05,4,73.8471
employment,user_id,int64,identifier,134417,134417,0,0.0,133752,0.995053,3166625,0.0015
employment,employment_type,object,categorical_feature,134417,54731,79686,59.2827,2,3.7e-05,Salaried,81.886
employment,tier_of_employment,object,categorical_feature,134417,54731,79686,59.2827,7,0.000128,B,30.86
employment,industry,object,categorical_feature,134417,134413,4,0.003,12974,0.096523,0,84.5
employment,role,object,categorical_feature,134417,134417,0,0.0,46,0.000342,KHMbckjadbckIFGCASEWdkcndwkcnCCM,15.5285
employment,work_experience,object,categorical_feature,134417,134413,4,0.003,7,5.2e-05,0,84.5
employment,total_income_pa,float64,numeric_feature,134417,134417,0,0.0,11380,0.084662,60000.0,3.8648
personal_information,user_id,int64,identifier,134417,134417,0,0.0,133752,0.995053,3166625,0.0015
personal_information,gender,object,sensitive_or_proxy_review,134417,134417,0,0.0,3,2.2e-05,Female,33.402
personal_information,married,object,sensitive_or_proxy_review,134417,89333,45084,33.5404,2,2.2e-05,Yes,50.1909
personal_information,dependents,int64,numeric_feature,134417,134417,0,0.0,5,3.7e-05,3,20.1812
personal_information,home,object,sensitive_or_proxy_review,134417,134417,0,0.0,5,3.7e-05,mortgage,48.7215
personal_information,pincode,object,sensitive_or_proxy_review,134417,134417,0,0.0,844,0.006279,XX112X,1.1784
personal_information,social_profile,object,sensitive_or_proxy_review,134417,89571,44846,33.3633,2,2.2e-05,No,50.1412
personal_information,is_verified,object,categorical_feature,134417,100910,33507,24.9277,3,3e-05,Not Verified,33.4179
other_information,user_id,int64,identifier,134417,134417,0,0.0,133752,0.995053,3166625.0,0.0015
other_information,delinq_2yrs,int64,numeric_feature,134417,134417,0,0.0,22,0.000164,0.0,82.2292
other_information,total_payment,float64,repayment_or_leakage_monitoring_only,134417,134417,0,0.0,104202,0.775214,11977.7703909,0.0424
other_information,received_principal,float64,repayment_or_leakage_monitoring_only,134417,134417,0,0.0,42022,0.312624,10000.0,3.356
other_information,interest_received,float64,repayment_or_leakage_monitoring_only,134417,134417,0,0.0,93862,0.69829,0.0,0.0863
other_information,number_of_loans,int64,numeric_feature,134417,134417,0,0.0,5,3.7e-05,0.0,99.5812
other_information,defaulter,int64,target,134417,134417,0,0.0,2,1.5e-05,0.0,90.9587
