column,lineage_status
amount,kept_from_raw
defaulter,kept_from_raw
delinq_2yrs,kept_from_raw
dependents,kept_from_raw
employment_type,kept_from_raw
gender,kept_from_raw
home,kept_from_raw
industry,kept_from_raw
interest_rate,kept_from_raw
interest_received,kept_from_raw
is_verified,kept_from_raw
loan_category,kept_from_raw
married,kept_from_raw
number_of_loans,kept_from_raw
pincode,kept_from_raw
received_principal,kept_from_raw
record_sequence,kept_from_raw
role,kept_from_raw
social_profile,kept_from_raw
tenure_years,kept_from_raw
tier_of_employment,kept_from_raw
total_income_pa,kept_from_raw
total_payment,kept_from_raw
user_id,kept_from_raw
work_experience,kept_from_raw
amount_missing_flag,added_during_cleaning
amount_missing_raw_flag,added_during_cleaning
amount_non_positive_flag,added_during_cleaning
broad_data_quality_issue_count,added_during_cleaning
core_data_quality_issue_count,added_during_cleaning
employment_type_missing_flag,added_during_cleaning
has_broad_data_quality_issue,added_during_cleaning
has_core_data_quality_issue,added_during_cleaning
industry_missing_flag,added_during_cleaning
industry_placeholder_zero_flag,added_during_cleaning
interest_to_amount_ratio,added_during_cleaning
is_verified_missing_flag,added_during_cleaning
loan_to_income_ratio,added_during_cleaning
married_missing_flag,added_during_cleaning
payment_to_amount_ratio,added_during_cleaning
principal_exceeds_amount_flag,added_during_cleaning
principal_to_amount_ratio,added_during_cleaning
social_profile_missing_flag,added_during_cleaning
tier_of_employment_missing_flag,added_during_cleaning
work_experience_missing_flag,added_during_cleaning
work_experience_placeholder_zero_flag,added_during_cleaning
