column,dtype,non_null_count,missing_count,missing_pct,unique_values,unique_ratio,inferred_type,include_in_math_profile
user_id,int64,134417,0,0.0,133752,0.9951,binary_flag,False
amount,float64,106779,27638,20.56,86156,0.8069,binary_flag,False
interest_rate,float64,134417,0,0.0,137,0.001,binary_flag,False
tenure_years,int64,134417,0,0.0,2,0.0,low_cardinality_numeric_or_ordinal,False
record_sequence,int64,134417,0,0.0,2,0.0,low_cardinality_numeric_or_ordinal,False
total_income_pa,float64,134417,0,0.0,11380,0.0847,binary_flag,False
dependents,int64,134417,0,0.0,5,0.0,low_cardinality_numeric_or_ordinal,False
delinq_2yrs,int64,134417,0,0.0,22,0.0002,binary_flag,False
total_payment,float64,134417,0,0.0,104202,0.7752,binary_flag,False
received_principal,float64,134417,0,0.0,42022,0.3126,binary_flag,False
interest_received,float64,134417,0,0.0,93862,0.6983,binary_flag,False
number_of_loans,int64,134417,0,0.0,5,0.0,low_cardinality_numeric_or_ordinal,False
defaulter,int64,134417,0,0.0,2,0.0,binary_flag,False
amount_missing_raw_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
amount_non_positive_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
industry_placeholder_zero_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
work_experience_placeholder_zero_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
amount_missing_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
employment_type_missing_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
tier_of_employment_missing_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
industry_missing_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
work_experience_missing_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
married_missing_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
social_profile_missing_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
is_verified_missing_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
loan_to_income_ratio,float64,106779,27638,20.56,104531,0.9789,binary_flag,False
payment_to_amount_ratio,float64,106779,27638,20.56,106764,0.9999,binary_flag,False
principal_to_amount_ratio,float64,106779,27638,20.56,106248,0.995,binary_flag,False
interest_to_amount_ratio,float64,106779,27638,20.56,106695,0.9992,binary_flag,False
principal_exceeds_amount_flag,int32,134417,0,0.0,2,0.0,binary_flag,False
core_data_quality_issue_count,int64,134417,0,0.0,2,0.0,binary_flag,False
has_core_data_quality_issue,int32,134417,0,0.0,2,0.0,binary_flag,False
broad_data_quality_issue_count,int64,134417,0,0.0,4,0.0,low_cardinality_numeric_or_ordinal,False
has_broad_data_quality_issue,int32,134417,0,0.0,2,0.0,binary_flag,False
