field,field_type,business_meaning,recommended_use
amount_missing_raw_flag,binary_flag,amount missing raw flag,audit_monitoring_and_possible_model_feature_after_policy_review
amount_non_positive_flag,binary_flag,amount non positive flag,audit_monitoring_and_possible_model_feature_after_policy_review
industry_placeholder_zero_flag,binary_flag,industry placeholder zero flag,audit_monitoring_and_possible_model_feature_after_policy_review
work_experience_placeholder_zero_flag,binary_flag,work experience placeholder zero flag,audit_monitoring_and_possible_model_feature_after_policy_review
amount_missing_flag,binary_flag,amount missing flag,audit_monitoring_and_possible_model_feature_after_policy_review
employment_type_missing_flag,binary_flag,employment type missing flag,audit_monitoring_and_possible_model_feature_after_policy_review
tier_of_employment_missing_flag,binary_flag,tier of employment missing flag,audit_monitoring_and_possible_model_feature_after_policy_review
industry_missing_flag,binary_flag,industry missing flag,audit_monitoring_and_possible_model_feature_after_policy_review
work_experience_missing_flag,binary_flag,work experience missing flag,audit_monitoring_and_possible_model_feature_after_policy_review
married_missing_flag,binary_flag,married missing flag,audit_monitoring_and_possible_model_feature_after_policy_review
social_profile_missing_flag,binary_flag,social profile missing flag,audit_monitoring_and_possible_model_feature_after_policy_review
is_verified_missing_flag,binary_flag,is verified missing flag,audit_monitoring_and_possible_model_feature_after_policy_review
principal_exceeds_amount_flag,binary_flag,principal exceeds amount flag,audit_monitoring_and_possible_model_feature_after_policy_review
has_core_data_quality_issue,binary_flag,has core data quality issue,audit_monitoring_and_possible_model_feature_after_policy_review
has_broad_data_quality_issue,binary_flag,has broad data quality issue,audit_monitoring_and_possible_model_feature_after_policy_review
core_data_quality_issue_count,count_feature,core data quality issue count,audit_monitoring_and_possible_model_feature_after_policy_review
broad_data_quality_issue_count,count_feature,broad data quality issue count,audit_monitoring_and_possible_model_feature_after_policy_review
