feature_1,feature_2,cramers_v,row_count
employment_type,tier_of_employment,0.70808722,134417
role,home,0.15436564,134417
employment_type,work_experience,0.10986905,134417
loan_category,home,0.08007108,134417
work_experience,home,0.05285599,134417
loan_category,tier_of_employment,0.04263243,134417
tier_of_employment,work_experience,0.03668687,134417
loan_category,role,0.03565212,134417
employment_type,role,0.03549637,134417
role,work_experience,0.03348315,134417
tier_of_employment,home,0.03019279,134417
loan_category,employment_type,0.02618047,134417
tier_of_employment,role,0.02409847,134417
role,social_profile,0.02048968,134417
role,married,0.01879575,134417
role,is_verified,0.01538882,134417
role,gender,0.01447407,134417
employment_type,home,0.01403070,134417
loan_category,work_experience,0.01106736,134417
tier_of_employment,gender,0.00902101,134417
tier_of_employment,is_verified,0.00811328,134417
social_profile,is_verified,0.00807582,134417
loan_category,is_verified,0.00752865,134417
loan_category,gender,0.00741853,134417
employment_type,gender,0.00704141,134417
work_experience,is_verified,0.00676354,134417
loan_category,married,0.00632413,134417
tier_of_employment,married,0.00628674,134417
tier_of_employment,social_profile,0.00610018,134417
home,social_profile,0.00598551,134417
gender,is_verified,0.00597654,134417
loan_category,social_profile,0.00527013,134417
home,is_verified,0.00502725,134417
married,is_verified,0.00495380,134417
work_experience,married,0.00483544,134417
work_experience,gender,0.00483207,134417
employment_type,is_verified,0.00478194,134417
gender,married,0.00454850,134417
work_experience,social_profile,0.00446859,134417
married,home,0.00442769,134417
gender,social_profile,0.00420000,134417
employment_type,married,0.00324675,134417
married,social_profile,0.00314623,134417
gender,home,0.00199862,134417
employment_type,social_profile,0.00147394,134417
