feature_1,feature_2,pearson_correlation,spearman_correlation,abs_pearson
payment_to_amount_ratio,interest_to_amount_ratio,0.967336,0.857168,0.967336
payment_to_amount_ratio,principal_to_amount_ratio,0.965298,0.979629,0.965298
total_payment,received_principal,0.963527,0.957642,0.963527
principal_to_amount_ratio,interest_to_amount_ratio,0.867567,0.764560,0.867567
amount,loan_to_income_ratio,0.739571,0.902428,0.739571
total_payment,interest_received,0.666912,0.656446,0.666912
interest_rate,interest_received,0.512869,0.480521,0.512869
amount,total_income_pa,0.494105,0.537938,0.494105
received_principal,interest_received,0.450550,0.466038,0.450550
total_income_pa,total_payment,0.260615,0.360625,0.260615
total_income_pa,received_principal,0.244883,0.318224,0.244883
amount,total_payment,0.218193,0.244319,0.218193
interest_rate,total_payment,0.204673,0.137686,0.204673
amount,received_principal,0.200486,0.205238,0.200486
total_income_pa,interest_received,0.189816,0.302765,0.189816
amount,interest_received,0.164571,0.218811,0.164571
amount,interest_rate,-0.090358,-0.092574,0.090358
total_payment,broad_data_quality_issue_count,-0.081131,0.007231,0.081131
total_payment,loan_to_income_ratio,0.071290,0.100292,0.071290
interest_received,broad_data_quality_issue_count,-0.071065,-0.043959,0.071065
received_principal,broad_data_quality_issue_count,-0.070880,0.024085,0.070880
amount,delinq_2yrs,0.070245,0.094539,0.070245
interest_rate,broad_data_quality_issue_count,-0.068065,-0.057751,0.068065
received_principal,loan_to_income_ratio,0.062702,0.074617,0.062702
interest_received,loan_to_income_ratio,0.062573,0.106492,0.062573
interest_rate,received_principal,0.060549,-0.026187,0.060549
interest_rate,delinq_2yrs,0.058915,0.070481,0.058915
delinq_2yrs,loan_to_income_ratio,0.058605,0.065854,0.058605
total_income_pa,delinq_2yrs,0.058187,0.095265,0.058187
interest_rate,total_income_pa,-0.057286,-0.088101,0.057286
total_income_pa,loan_to_income_ratio,0.051966,0.155257,0.051966
delinq_2yrs,received_principal,-0.044360,-0.043950,0.044360
interest_rate,loan_to_income_ratio,-0.040460,-0.037832,0.040460
delinq_2yrs,total_payment,-0.034683,-0.031432,0.034683
loan_to_income_ratio,broad_data_quality_issue_count,-0.032659,-0.057569,0.032659
delinq_2yrs,broad_data_quality_issue_count,-0.027072,-0.061454,0.027072
amount,broad_data_quality_issue_count,-0.026773,-0.058992,0.026773
total_income_pa,broad_data_quality_issue_count,-0.024268,-0.047834,0.024268
interest_received,interest_to_amount_ratio,0.023853,0.424436,0.023853
loan_to_income_ratio,principal_to_amount_ratio,-0.023804,-0.772024,0.023804
interest_received,payment_to_amount_ratio,0.020474,0.162555,0.020474
amount,principal_to_amount_ratio,-0.018798,-0.769418,0.018798
total_payment,principal_to_amount_ratio,0.017306,0.365362,0.017306
loan_to_income_ratio,payment_to_amount_ratio,-0.016431,-0.807211,0.016431
interest_received,principal_to_amount_ratio,0.015588,0.073110,0.015588
received_principal,principal_to_amount_ratio,0.015322,0.431366,0.015322
total_payment,payment_to_amount_ratio,0.013849,0.338410,0.013849
amount,payment_to_amount_ratio,-0.012960,-0.806418,0.012960
principal_to_amount_ratio,broad_data_quality_issue_count,0.010324,-0.124584,0.010324
interest_rate,interest_to_amount_ratio,0.009749,0.372870,0.009749
received_principal,payment_to_amount_ratio,0.009652,0.352329,0.009652
