segment,segment_value,row_count,default_count,default_rate,exposure,avg_exposure,median_exposure,row_share_pct,default_rate_pct,default_lift_vs_portfolio,exposure_share_pct,exposure_weighted_default_proxy,low_sample_flag
amount_missing_raw_flag,1,27619,4454,0.1613,0.0,,,20.5473,16.1266,1.7837,0.0,0.0,False
amount_missing_flag,1,27638,4457,0.1613,0.0,,,20.5614,16.1263,1.7836,0.0,0.0,False
amount_non_positive_flag,1,19,3,0.1579,0.0,,,0.0141,15.7895,1.7464,0.0,0.0,True
has_broad_data_quality_issue,0,17890,2657,0.1485,2575490332.0,143962.5675,89763.0,13.3093,14.8519,1.6427,17.5221,382508541.7621,False
core_data_quality_issue_count,1,30435,4506,0.1481,23895480.0,8543.2535,7294.0,22.6422,14.8053,1.6375,0.1626,3537802.9532,False
has_core_data_quality_issue,1,30435,4506,0.1481,23895480.0,8543.2535,7294.0,22.6422,14.8053,1.6375,0.1626,3537802.9532,False
industry_missing_flag,0,20834,3041,0.146,2584080667.0,137253.9792,76922.0,15.4995,14.5963,1.6144,17.5806,377181017.0081,False
work_experience_missing_flag,0,20834,3041,0.146,2584080667.0,137253.9792,76922.0,15.4995,14.5963,1.6144,17.5806,377181017.0081,False
industry_placeholder_zero_flag,0,20838,3041,0.1459,2584458856.0,137252.1963,76918.0,15.5025,14.5935,1.6141,17.5831,377163805.6002,False
work_experience_placeholder_zero_flag,0,20838,3041,0.1459,2584458856.0,137252.1963,76918.0,15.5025,14.5935,1.6141,17.5831,377163805.6002,False
employment_type_missing_flag,0,54731,5470,0.0999,5575116506.0,136745.5606,76319.0,40.7173,9.9943,1.1054,37.9298,557195872.3177,False
tier_of_employment_missing_flag,0,54731,5470,0.0999,5575116506.0,136745.5606,76319.0,40.7173,9.9943,1.1054,37.9298,557195872.3177,False
principal_exceeds_amount_flag,0,131620,12104,0.092,14674624408.0,141126.5835,82025.5,97.9192,9.1962,1.0171,99.8374,1349503524.0422,False
married_missing_flag,1,45084,4122,0.0914,4945160700.0,137967.2656,75590.0,33.5404,9.1429,1.0112,33.6439,452132739.0072,False
is_verified_missing_flag,1,33507,3057,0.0912,3734907051.0,139994.2671,78946.0,24.9277,9.1235,1.0091,25.4101,340753002.5042,False
social_profile_missing_flag,0,89571,8156,0.0911,9802937915.0,137871.4792,76627.0,66.6367,9.1056,1.0071,66.6934,892618834.6087,False
amount_non_positive_flag,0,134398,12150,0.0904,14698519888.0,137653.6574,76549.0,99.9859,9.0403,0.9999,100.0,1328792218.9259,False
is_verified_missing_flag,0,100910,9096,0.0901,10963612837.0,136874.0679,75871.0,75.0723,9.014,0.997,74.5899,988257084.1874,False
married_missing_flag,0,89333,8031,0.0899,9753359188.0,137495.1955,76999.5,66.4596,8.99,0.9943,66.3561,876822984.1025,False
social_profile_missing_flag,1,44846,3997,0.0891,4895581973.0,137219.5525,76331.0,33.3633,8.9127,0.9858,33.3066,436329687.0642,False
employment_type_missing_flag,1,79686,6683,0.0839,9123403382.0,138214.5371,76655.0,59.2827,8.3867,0.9276,62.0702,765149521.8973,False
tier_of_employment_missing_flag,1,79686,6683,0.0839,9123403382.0,138214.5371,76655.0,59.2827,8.3867,0.9276,62.0702,765149521.8973,False
has_broad_data_quality_issue,1,116527,9496,0.0815,12123029556.0,136383.912,74291.0,86.6907,8.1492,0.9013,82.4779,987928022.3792,False
industry_missing_flag,1,113583,9112,0.0802,12114439221.0,137739.2125,76445.5,84.5005,8.0223,0.8873,82.4194,971859963.0381,False
work_experience_missing_flag,1,113583,9112,0.0802,12114439221.0,137739.2125,76445.5,84.5005,8.0223,0.8873,82.4194,971859963.0381,False
industry_placeholder_zero_flag,1,113579,9112,0.0802,12114061032.0,137739.6108,76446.0,84.4975,8.0226,0.8873,82.4169,971863849.1586,False
work_experience_placeholder_zero_flag,1,113579,9112,0.0802,12114061032.0,137739.6108,76446.0,84.4975,8.0226,0.8873,82.4169,971863849.1586,False
core_data_quality_issue_count,0,103982,7647,0.0735,14674624408.0,141126.5835,82025.5,77.3578,7.3542,0.8134,99.8374,1079194984.2086,False
has_core_data_quality_issue,0,103982,7647,0.0735,14674624408.0,141126.5835,82025.5,77.3578,7.3542,0.8134,99.8374,1079194984.2086,False
amount_missing_raw_flag,0,106798,7699,0.0721,14698519888.0,137653.6574,76549.0,79.4527,7.2089,0.7973,100.0,1059606964.7157,False
amount_missing_flag,0,106779,7696,0.0721,14698519888.0,137653.6574,76549.0,79.4386,7.2074,0.7972,100.0,1059382547.6737,False
principal_exceeds_amount_flag,1,2797,49,0.0175,23895480.0,8543.2535,7294.0,2.0808,1.7519,0.1938,0.1626,418619.4208,False
