segment,segment_value,row_count,default_rate_pct,exposure,avg_exposure,exposure_share_pct
work_experience,Unknown,113583,8.0223,12114439221.0000,137739.2125,82.4194
home,Mortgage,65490,7.9463,11546242225.0000,216704.6832,78.5538
employment_type,Unknown,79686,8.3867,9123403382.0000,138214.5371,62.0702
tier_of_employment,Unknown,79686,8.3867,9123403382.0000,138214.5371,62.0702
loan_category,Consolidation,80868,9.4438,9009189646.0000,137126.1742,61.2932
employment_type,Salaried,44817,8.9676,4913757818.0000,137605.5845,33.4303
loan_category,Credit Card,31668,6.7797,3529253100.0000,137431.9743,24.0109
home,Rent,56442,10.3699,2111629876.0000,48898.4317,14.3663
tier_of_employment,B,16890,8.2060,1657254660.0000,136872.7007,11.2750
tier_of_employment,C,13932,10.3575,1363151468.0000,123250.5848,9.2741
tier_of_employment,A,10526,4.0756,1229511044.0000,171671.4666,8.3649
loan_category,Home,8503,8.6440,1104943930.0000,174888.2447,7.5174
home,Own,12397,8.7118,1031294798.0000,100840.4027,7.0163
work_experience,10+,6486,13.7990,954183466.0000,160853.5850,6.4917
work_experience,5-10,8132,15.1992,936799126.0000,127577.1655,6.3734
tier_of_employment,D,8163,14.2472,767992228.0000,120412.7043,5.2250
employment_type,Self-Employed,9914,14.6359,661358688.0000,130677.4724,4.4995
loan_category,Other,8225,11.3678,650587568.0000,112073.6551,4.4262
tier_of_employment,E,3712,18.0226,392339239.0000,134500.9390,2.6692
work_experience,1-2,1843,14.5958,217096596.0000,130859.9132,1.4770
loan_category,Business,2236,19.4097,173506382.0000,136619.1984,1.1804
work_experience,2-3,1538,16.1899,164623095.0000,120162.8431,1.1200
work_experience,3-5,1392,13.5776,158227144.0000,128744.6249,1.0765
work_experience,<1,1443,14.0679,153151240.0000,118354.8995,1.0420
tier_of_employment,F,1252,24.3610,135447896.0000,140360.5140,0.9215
loan_category,Medical,1379,10.8774,130687686.0000,124346.0381,0.8891
loan_category,Car,1538,7.4772,100351576.0000,105080.1843,0.6827
tier_of_employment,G,256,29.2969,29419971.0000,163444.2833,0.2002
home,Other/None,88,18.1818,9352989.0000,107505.6207,0.0636
