segment_column,segment_value,row_count,default_count,default_rate,default_rate_pct,portfolio_share_pct,exposure,median_amount,exposure_share_pct,median_income,median_interest_rate,median_loan_to_income_ratio,default_rate_lift
tier_of_employment,G,256,75,0.29296875,29.296875,0.19045210055275746,29419971.0,95651.5,0.20015601042944955,78000.0,22.48,1.4737572509457753,3.2403505693038754
tier_of_employment,F,1252,305,0.24361022364217252,24.361022364217252,0.9314298042658294,135447896.0,81746.0,0.9215070431042574,70000.0,21.16,1.2552307692307692,2.6944256917065665
loan_category,Business,2236,434,0.19409660107334525,19.409660107334524,1.6634800657654911,173506382.0,62201.0,1.18043437925782,70000.0,13.23,0.8909733333333334,2.1467853885029085
tier_of_employment,E,3712,669,0.1802262931034483,18.02262931034483,2.7615554580149833,392339239.0,75731.0,2.6692431754323045,65000.0,18.51,1.2606,1.9933742812545223
work_experience,2-3,1538,249,0.16189856957087126,16.189856957087127,1.1442005103521133,164623095.0,55098.0,1.1199977702135826,60000.0,12.73,0.9522059386973181,1.7906623900277958
amount_missing_flag,1,27638,4457,0.16126347782039221,16.126347782039222,20.561387324519963,0.0,,0.0,60000.0,11.84,,1.7836380233838278
work_experience,5-10,8132,1236,0.15199212985735366,15.199212985735366,6.049830006621186,936799126.0,67151.0,6.373424896780327,60000.0,12.73,1.0963562091503267,1.6810932378043204
has_broad_data_quality_issue,0,17890,2657,0.1485187255449972,14.851872554499721,13.309328433159495,2575490332.0,89763.0,17.52210665852589,65000.0,12.73,1.4106180063041767,1.642676008523154
has_core_data_quality_issue,1,30435,4506,0.1480532281912272,14.80532281912272,22.642225313762395,23895480.0,7294.0,0.1625706546106624,58800.0,11.84,0.1455714285714285,1.637527423169603
employment_type,Self-Employed,9914,1451,0.14635868468831956,14.635868468831955,7.3755551753126465,661358688.0,68749.0,4.4994917382119475,60000.0,12.35,1.121225,1.6187850999547313
work_experience,1-2,1843,269,0.14595767769940315,14.595767769940316,1.371106333276297,217096596.0,59926.0,1.4769963074801808,60000.0,12.73,1.0137142857142858,1.614349803613978
tier_of_employment,D,8163,1163,0.1424721303442362,14.24721303442362,6.072892565672497,767992228.0,61603.5,5.224963015677487,60000.0,16.05,1.0841582857142857,1.5757982674632762
work_experience,<1,1443,203,0.14067914067914067,14.067914067914067,1.0735249261626132,153151240.0,54814.5,1.0419500818244565,58000.0,12.73,0.9709402412280702,1.5559670906498848
work_experience,10+,6486,895,0.13798951588035768,13.798951588035768,4.825282516348379,954183466.0,124150.5,6.4916976217381155,70000.0,12.73,1.7451172442244225,1.526218773643548
work_experience,3-5,1392,189,0.13577586206896552,13.577586206896552,1.0355832967556187,158227144.0,64613.0,1.0764835181070036,60000.0,12.73,1.018883116883117,1.5017348845325547
loan_category,Other,8225,935,0.11367781155015197,11.367781155015196,6.119017683775118,650587568.0,46868.0,4.426211434602646,57900.0,12.64,0.8603958333333334,1.2573216814890789
