feature_1,feature_2,correlation,method,abs_correlation
payment_to_amount_ratio,principal_to_amount_ratio,0.979629,spearman,0.979629
payment_to_amount_ratio,interest_to_amount_ratio,0.967336,pearson,0.967336
payment_to_amount_ratio,principal_to_amount_ratio,0.965298,pearson,0.965298
total_payment,received_principal,0.963527,pearson,0.963527
total_payment,received_principal,0.957642,spearman,0.957642
amount,loan_to_income_ratio,0.902428,spearman,0.902428
principal_to_amount_ratio,interest_to_amount_ratio,0.867567,pearson,0.867567
payment_to_amount_ratio,interest_to_amount_ratio,0.857168,spearman,0.857168
loan_to_income_ratio,payment_to_amount_ratio,-0.807211,spearman,0.807211
amount,payment_to_amount_ratio,-0.806418,spearman,0.806418
loan_to_income_ratio,principal_to_amount_ratio,-0.772024,spearman,0.772024
amount,principal_to_amount_ratio,-0.769418,spearman,0.769418
principal_to_amount_ratio,interest_to_amount_ratio,0.764560,spearman,0.764560
amount,interest_to_amount_ratio,-0.760336,spearman,0.760336
loan_to_income_ratio,interest_to_amount_ratio,-0.751598,spearman,0.751598
amount,loan_to_income_ratio,0.739571,pearson,0.739571
total_payment,interest_received,0.666912,pearson,0.666912
total_payment,interest_received,0.656446,spearman,0.656446
amount,total_income_pa,0.537938,spearman,0.537938
interest_rate,interest_received,0.512869,pearson,0.512869
amount,total_income_pa,0.494105,pearson,0.494105
interest_rate,interest_received,0.480521,spearman,0.480521
received_principal,interest_received,0.466038,spearman,0.466038
received_principal,interest_received,0.450550,pearson,0.450550
received_principal,principal_to_amount_ratio,0.431366,spearman,0.431366
interest_received,interest_to_amount_ratio,0.424436,spearman,0.424436
interest_rate,interest_to_amount_ratio,0.372870,spearman,0.372870
total_payment,principal_to_amount_ratio,0.365362,spearman,0.365362
total_income_pa,total_payment,0.360625,spearman,0.360625
received_principal,payment_to_amount_ratio,0.352329,spearman,0.352329
total_payment,payment_to_amount_ratio,0.338410,spearman,0.338410
total_income_pa,received_principal,0.318224,spearman,0.318224
total_income_pa,interest_received,0.302765,spearman,0.302765
total_income_pa,interest_to_amount_ratio,-0.287411,spearman,0.287411
total_income_pa,payment_to_amount_ratio,-0.283832,spearman,0.283832
total_income_pa,principal_to_amount_ratio,-0.267101,spearman,0.267101
total_income_pa,total_payment,0.260615,pearson,0.260615
total_income_pa,received_principal,0.244883,pearson,0.244883
amount,total_payment,0.244319,spearman,0.244319
amount,interest_received,0.218811,spearman,0.218811
amount,total_payment,0.218193,pearson,0.218193
amount,received_principal,0.205238,spearman,0.205238
interest_rate,total_payment,0.204673,pearson,0.204673
amount,received_principal,0.200486,pearson,0.200486
total_income_pa,interest_received,0.189816,pearson,0.189816
total_payment,interest_to_amount_ratio,0.178048,spearman,0.178048
amount,interest_received,0.164571,pearson,0.164571
interest_received,payment_to_amount_ratio,0.162555,spearman,0.162555
interest_rate,payment_to_amount_ratio,0.157189,spearman,0.157189
total_income_pa,loan_to_income_ratio,0.155257,spearman,0.155257
interest_rate,total_payment,0.137686,spearman,0.137686
interest_received,loan_to_income_ratio,0.106492,spearman,0.106492
total_payment,loan_to_income_ratio,0.100292,spearman,0.100292
delinq_2yrs,principal_to_amount_ratio,-0.097280,spearman,0.097280
delinq_2yrs,payment_to_amount_ratio,-0.096103,spearman,0.096103
total_income_pa,delinq_2yrs,0.095265,spearman,0.095265
amount,delinq_2yrs,0.094539,spearman,0.094539
amount,interest_rate,-0.092574,spearman,0.092574
amount,interest_rate,-0.090358,pearson,0.090358
interest_rate,total_income_pa,-0.088101,spearman,0.088101
received_principal,interest_to_amount_ratio,0.087437,spearman,0.087437
received_principal,loan_to_income_ratio,0.074617,spearman,0.074617
interest_received,principal_to_amount_ratio,0.073110,spearman,0.073110
total_payment,loan_to_income_ratio,0.071290,pearson,0.071290
interest_rate,delinq_2yrs,0.070481,spearman,0.070481
amount,delinq_2yrs,0.070245,pearson,0.070245
delinq_2yrs,interest_to_amount_ratio,-0.067611,spearman,0.067611
delinq_2yrs,loan_to_income_ratio,0.065854,spearman,0.065854
received_principal,loan_to_income_ratio,0.062702,pearson,0.062702
interest_received,loan_to_income_ratio,0.062573,pearson,0.062573
interest_rate,received_principal,0.060549,pearson,0.060549
interest_rate,delinq_2yrs,0.058915,pearson,0.058915
delinq_2yrs,loan_to_income_ratio,0.058605,pearson,0.058605
total_income_pa,delinq_2yrs,0.058187,pearson,0.058187
interest_rate,total_income_pa,-0.057286,pearson,0.057286
total_income_pa,loan_to_income_ratio,0.051966,pearson,0.051966
interest_rate,principal_to_amount_ratio,0.047276,spearman,0.047276
delinq_2yrs,received_principal,-0.044360,pearson,0.044360
delinq_2yrs,received_principal,-0.043950,spearman,0.043950
interest_rate,loan_to_income_ratio,-0.040460,pearson,0.040460
interest_rate,loan_to_income_ratio,-0.037832,spearman,0.037832
delinq_2yrs,total_payment,-0.034683,pearson,0.034683
delinq_2yrs,total_payment,-0.031432,spearman,0.031432
interest_rate,received_principal,-0.026187,spearman,0.026187
interest_received,interest_to_amount_ratio,0.023853,pearson,0.023853
loan_to_income_ratio,principal_to_amount_ratio,-0.023804,pearson,0.023804
delinq_2yrs,interest_received,0.023699,spearman,0.023699
interest_received,payment_to_amount_ratio,0.020474,pearson,0.020474
amount,principal_to_amount_ratio,-0.018798,pearson,0.018798
total_payment,principal_to_amount_ratio,0.017306,pearson,0.017306
loan_to_income_ratio,payment_to_amount_ratio,-0.016431,pearson,0.016431
interest_received,principal_to_amount_ratio,0.015588,pearson,0.015588
received_principal,principal_to_amount_ratio,0.015322,pearson,0.015322
total_payment,payment_to_amount_ratio,0.013849,pearson,0.013849
amount,payment_to_amount_ratio,-0.012960,pearson,0.012960
