column,dtype,non_null_count,missing_count,unique_values,selected_for_numeric_eda,decision_reason
user_id,int64,134417,0,133752,False,identifier_or_record_key
amount,float64,106779,27638,86156,True,selected
interest_rate,float64,134417,0,137,True,selected
tenure_years,int64,134417,0,2,False,low_cardinality_numeric
record_sequence,int64,134417,0,2,False,identifier_or_record_key
total_income_pa,float64,134417,0,11380,True,selected
dependents,int64,134417,0,5,True,selected
delinq_2yrs,int64,134417,0,22,True,selected
total_payment,float64,134417,0,104202,True,selected
received_principal,float64,134417,0,42022,True,selected
interest_received,float64,134417,0,93862,True,selected
number_of_loans,int64,134417,0,5,True,selected
defaulter,int64,134417,0,2,False,target
amount_missing_raw_flag,int64,134417,0,2,False,binary_or_flag
amount_non_positive_flag,int64,134417,0,2,False,binary_or_flag
industry_placeholder_zero_flag,int64,134417,0,2,False,binary_or_flag
work_experience_placeholder_zero_flag,int64,134417,0,2,False,binary_or_flag
amount_missing_flag,int64,134417,0,2,False,binary_or_flag
employment_type_missing_flag,int64,134417,0,2,False,binary_or_flag
tier_of_employment_missing_flag,int64,134417,0,2,False,binary_or_flag
industry_missing_flag,int64,134417,0,2,False,binary_or_flag
work_experience_missing_flag,int64,134417,0,2,False,binary_or_flag
married_missing_flag,int64,134417,0,2,False,binary_or_flag
social_profile_missing_flag,int64,134417,0,2,False,binary_or_flag
is_verified_missing_flag,int64,134417,0,2,False,binary_or_flag
loan_to_income_ratio,float64,106779,27638,104531,True,selected
payment_to_amount_ratio,float64,106779,27638,106764,True,selected
principal_to_amount_ratio,float64,106779,27638,106248,True,selected
interest_to_amount_ratio,float64,106779,27638,106695,True,selected
principal_exceeds_amount_flag,int64,134417,0,2,False,binary_or_flag
core_data_quality_issue_count,int64,134417,0,2,False,binary_or_flag
has_core_data_quality_issue,int64,134417,0,2,False,binary_or_flag
broad_data_quality_issue_count,int64,134417,0,4,True,selected
has_broad_data_quality_issue,int64,134417,0,2,False,binary_or_flag
