feature,count,mean,median,std,min,max,skew,missing_count,missing_pct,unique_values
amount,106779.000000,137653.657442,76549.000000,157599.975929,5.000000,8000078.000000,4.348012,27638,20.561400,86156
loan_to_income_ratio,106779.000000,1.803331,1.235937,1.562278,0.000056,19.637500,1.145263,27638,20.561400,104531
payment_to_amount_ratio,106779.000000,0.369167,0.097088,20.082633,0.000000,6251.680000,286.597295,27638,20.561400,106764
principal_to_amount_ratio,106779.000000,0.274960,0.069265,10.236618,0.000000,2819.172000,219.045698,27638,20.561400,106248
interest_to_amount_ratio,106779.000000,0.092741,0.020665,10.545682,0.000000,3432.508000,323.045816,27638,20.561400,106695
interest_rate,134417.000000,12.024810,11.840000,3.879283,5.420000,23.540000,0.364382,0,0.000000,137
total_income_pa,134417.000000,72597.975022,62000.000000,56100.051280,4000.000000,7141778.000000,28.738540,0,0.000000,11380
dependents,134417.000000,2.002068,2.000000,1.413975,0.000000,4.000000,-0.004588,0,0.000000,5
delinq_2yrs,134417.000000,0.283104,0.000000,0.799212,0.000000,22.000000,5.423503,0,0.000000,22
total_payment,134417.000000,10696.436129,8061.140000,8544.311643,0.000000,57777.579870,1.600119,0,0.000000,104202
received_principal,134417.000000,8282.676235,5869.120000,7184.016451,0.000000,35000.010000,1.555603,0,0.000000,42022
interest_received,134417.000000,2335.874520,1627.030000,2419.909636,0.000000,24205.620000,2.850006,0,0.000000,93862
number_of_loans,134417.000000,0.005647,0.000000,0.099049,0.000000,5.000000,22.911839,0,0.000000,5
broad_data_quality_issue_count,134417.000000,1.916372,2.000000,0.867068,0.000000,3.000000,-1.063104,0,0.000000,4
