feature,band,row_count,default_count,default_rate_pct,feature_min,feature_max,feature_mean,feature_median,exposure,row_share_pct,exposure_share_pct
amount,"(4.999, 13912.8]",10678,834,7.8105,5.0000,13912.0000,8458.6778,8816.0000,90321762.0000,7.9439,0.6145
amount,"(13912.8, 23460.6]",10678,908,8.5035,13913.0000,23460.0000,18712.2762,18715.0000,199809685.0000,7.9439,1.3594
amount,"(23460.6, 33985.4]",10678,888,8.3162,23461.0000,33985.0000,28559.0803,28520.5000,304953859.0000,7.9439,2.0747
amount,"(33985.4, 48617.4]",10678,852,7.9790,33986.0000,48617.0000,40771.9465,40467.5000,435362845.0000,7.9439,2.9620
amount,"(48617.4, 76549.0]",10678,830,7.7730,48619.0000,76549.0000,60896.7769,60106.0000,650255784.0000,7.9439,4.4240
amount,"(76549.0, 126420.8]",10677,757,7.0900,76553.0000,126408.0000,100177.7281,99545.0000,1069597603.0000,7.9432,7.2769
amount,"(126420.8, 177897.0]",10678,783,7.3328,126424.0000,177894.0000,152179.3710,152094.5000,1624971324.0000,7.9439,11.0553
amount,"(177897.0, 237866.2]",10678,730,6.8365,177899.0000,237863.0000,206248.7745,205482.5000,2202324414.0000,7.9439,14.9833
amount,"(237866.2, 333673.4]",10678,631,5.9093,237871.0000,333673.0000,280548.5381,277922.5000,2995697290.0000,7.9439,20.3809
amount,"(333673.4, 8000078.0]",10678,483,4.5233,333675.0000,8000078.0000,479979.8953,422284.5000,5125225322.0000,7.9439,34.8690
interest_rate,"(5.419, 6.88]",13553,356,2.6267,5.4200,6.8800,6.0778,5.9800,1838793695.0000,10.0828,12.5101
interest_rate,"(6.88, 8.04]",13692,595,4.3456,6.9500,8.0400,7.4818,7.4000,1711707993.0000,10.1862,11.6454
interest_rate,"(8.04, 9.93]",13575,612,4.5083,8.2800,9.9300,9.1655,9.1800,1657085028.0000,10.0992,11.2738
interest_rate,"(9.93, 10.95]",14608,1047,7.1673,10.0600,10.9500,10.6187,10.5800,1550421216.0000,10.8677,10.5481
interest_rate,"(10.95, 11.84]",13895,962,6.9234,11.1900,11.8400,11.5954,11.7300,1489449196.0000,10.3372,10.1333
interest_rate,"(11.84, 12.73]",11693,1083,9.2620,12.0600,12.7300,12.4473,12.6300,1092243907.0000,8.6990,7.4310
interest_rate,"(12.73, 13.83]",14600,1450,9.9315,12.8900,13.8300,13.3059,13.2300,1458489497.0000,10.8617,9.9227
interest_rate,"(13.83, 15.35]",12555,1379,10.9837,14.0800,15.3500,14.5483,14.4400,1310948999.0000,9.3403,8.9189
interest_rate,"(15.35, 17.15]",12822,1954,15.2394,15.4800,17.1500,16.2650,16.1300,1188763257.0000,9.5390,8.0876
