segment,segment_value,row_count,default_count,default_rate,exposure,avg_exposure,median_exposure,row_share_pct,default_rate_pct,default_lift_vs_portfolio,exposure_share_pct,exposure_weighted_default_proxy,low_sample_flag
tier_of_employment,G,256,75,0.2930,29419971.0000,163444.2833,95651.5000,0.1905,29.2969,3.2404,0.2002,8619132.1289,False
tier_of_employment,F,1252,305,0.2436,135447896.0000,140360.5140,81746.0000,0.9314,24.3610,2.6944,0.9215,32996492.2364,False
loan_category,Business,2236,434,0.1941,173506382.0000,136619.1984,62201.0000,1.6635,19.4097,2.1468,1.1804,33676999.0107,False
home,Other/None,88,16,0.1818,9352989.0000,107505.6207,65190.0000,0.0655,18.1818,2.0110,0.0636,1700543.4545,True
tier_of_employment,E,3712,669,0.1802,392339239.0000,134500.9390,75731.0000,2.7616,18.0226,1.9934,2.6692,70709846.6840,False
work_experience,2-3,1538,249,0.1619,164623095.0000,120162.8431,55098.0000,1.1442,16.1899,1.7907,1.1200,26652243.5988,False
amount_missing_flag,1,27638,4457,0.1613,0.0000,,,20.5614,16.1263,1.7836,0.0000,0.0000,False
work_experience,5-10,8132,1236,0.1520,936799126.0000,127577.1655,67151.0000,6.0498,15.1992,1.6811,6.3734,142386094.4092,False
has_broad_data_quality_issue,0,17890,2657,0.1485,2575490332.0000,143962.5675,89763.0000,13.3093,14.8519,1.6427,17.5221,382508541.7621,False
has_core_data_quality_issue,1,30435,4506,0.1481,23895480.0000,8543.2535,7294.0000,22.6422,14.8053,1.6375,0.1626,3537802.9532,False
employment_type,Self-Employed,9914,1451,0.1464,661358688.0000,130677.4724,68749.0000,7.3756,14.6359,1.6188,4.4995,96795587.6829,False
work_experience,1-2,1843,269,0.1460,217096596.0000,130859.9132,59926.0000,1.3711,14.5958,1.6143,1.4770,31686914.9886,False
tier_of_employment,D,8163,1163,0.1425,767992228.0000,120412.7043,61603.5000,6.0729,14.2472,1.5758,5.2250,109417488.8110,False
work_experience,<1,1443,203,0.1407,153151240.0000,118354.8995,54814.5000,1.0735,14.0679,1.5560,1.0420,21545184.8371,False
