eda_split,count,mean,median,std,feature
train_like,64029,137354.997501,75674.000000,159241.143612,amount
validation_like,21462,139485.605489,80383.500000,158613.555908,amount
test_like,21288,136705.030440,75301.000000,151487.157899,amount
train_like,80586,12.035032,11.840000,3.881344,interest_rate
validation_like,27066,12.028532,11.840000,3.878854,interest_rate
test_like,26765,11.990268,11.840000,3.873453,interest_rate
train_like,80586,72449.089677,62000.000000,52220.891628,total_income_pa
validation_like,27066,73215.739177,62000.000000,72556.105756,total_income_pa
test_like,26765,72421.538247,62000.000000,47656.757159,total_income_pa
train_like,80586,1.998275,2.000000,1.412347,dependents
validation_like,27066,1.999150,2.000000,1.415715,dependents
test_like,26765,2.016439,2.000000,1.417074,dependents
train_like,80586,0.282754,0.000000,0.796103,delinq_2yrs
validation_like,27066,0.286152,0.000000,0.819870,delinq_2yrs
test_like,26765,0.281076,0.000000,0.787325,delinq_2yrs
train_like,80586,10694.773843,8061.150000,8549.533335,total_payment
validation_like,27066,10695.610192,8048.055000,8548.684371,total_payment
test_like,26765,10702.276286,8077.790000,8524.455209,total_payment
train_like,80586,8283.458298,5895.120000,7185.163227,received_principal
validation_like,27066,8286.779626,5834.015000,7218.665426,received_principal
test_like,26765,8276.172006,5868.190000,7145.601599,received_principal
train_like,80586,2334.964946,1617.800000,2430.075310,interest_received
validation_like,27066,2330.624049,1642.355000,2372.795257,interest_received
test_like,26765,2343.922650,1634.260000,2436.431835,interest_received
train_like,80586,0.005472,0.000000,0.096382,number_of_loans
validation_like,27066,0.005062,0.000000,0.091442,number_of_loans
test_like,26765,0.006763,0.000000,0.113335,number_of_loans
train_like,64029,1.803665,1.227127,1.571133,loan_to_income_ratio
validation_like,21462,1.808110,1.276359,1.540097,loan_to_income_ratio
test_like,21288,1.797507,1.221877,1.557818,loan_to_income_ratio
train_like,64029,0.424850,0.097353,25.724918,payment_to_amount_ratio
validation_like,21462,0.313143,0.095585,5.414579,payment_to_amount_ratio
test_like,21288,0.258165,0.097829,1.723771,payment_to_amount_ratio
train_like,64029,0.308415,0.069693,12.902660,principal_to_amount_ratio
validation_like,21462,0.245053,0.068196,4.685699,principal_to_amount_ratio
test_like,21288,0.204486,0.069065,1.656434,principal_to_amount_ratio
train_like,64029,0.115014,0.020622,13.586069,interest_to_amount_ratio
validation_like,21462,0.066635,0.020478,1.617384,interest_to_amount_ratio
test_like,21288,0.052069,0.021073,0.126287,interest_to_amount_ratio
train_like,80586,1.918088,2.000000,0.865836,broad_data_quality_issue_count
validation_like,27066,1.910885,2.000000,0.872111,broad_data_quality_issue_count
test_like,26765,1.916757,2.000000,0.865670,broad_data_quality_issue_count
