feature,feature_family,decision,baseline_model_policy,reason,dtype,missing_count,missing_pct,unique_values
user_id,identifier,audit_key_only,exclude_from_model,Identifier/audit grain; useful for traceability but not predictive modelling.,int64,0,0.0,133752
loan_category,loan_terms,include_conservative_baseline,include_in_baseline,"Deterministic, row-level, explainable feature not marked as leakage or high-risk proxy.",object,0,0.0,7
amount,loan_terms,include_conservative_baseline,include_in_baseline,"Deterministic, row-level, explainable feature not marked as leakage or high-risk proxy.",float64,27638,20.5614,86156
interest_rate,loan_terms,include_conservative_baseline,include_in_baseline,"Deterministic, row-level, explainable feature not marked as leakage or high-risk proxy.",float64,0,0.0,137
tenure_years,loan_terms,include_conservative_baseline,include_in_baseline,"Deterministic, row-level, explainable feature not marked as leakage or high-risk proxy.",int64,0,0.0,2
record_sequence,identifier,audit_key_only,exclude_from_model,Identifier/audit grain; useful for traceability but not predictive modelling.,int64,0,0.0,2
employment_type,employment_profile,include_conservative_baseline,include_in_baseline,"Deterministic, row-level, explainable feature not marked as leakage or high-risk proxy.",object,0,0.0,3
tier_of_employment,employment_profile,include_conservative_baseline,include_in_baseline,"Deterministic, row-level, explainable feature not marked as leakage or high-risk proxy.",object,0,0.0,8
industry,high_cardinality_or_encrypted,audit_or_future_grouping_only,exclude_from_baseline,High-cardinality/encrypted field is not explainable enough for first baseline model.,object,0,0.0,12974
role,high_cardinality_or_encrypted,audit_or_future_grouping_only,exclude_from_baseline,High-cardinality/encrypted field is not explainable enough for first baseline model.,object,0,0.0,46
work_experience,employment_profile,include_conservative_baseline,include_in_baseline,"Deterministic, row-level, explainable feature not marked as leakage or high-risk proxy.",object,0,0.0,7
total_income_pa,affordability,include_conservative_baseline,include_in_baseline,"Deterministic, row-level, explainable feature not marked as leakage or high-risk proxy.",float64,0,0.0,11380
gender,sensitive_or_high_risk_proxy,audit_governance_only,exclude_from_baseline,Sensitive or high-risk proxy field retained for fairness/governance monitoring.,object,0,0.0,3
married,sensitive_or_high_risk_proxy,audit_governance_only,exclude_from_baseline,Sensitive or high-risk proxy field retained for fairness/governance monitoring.,object,0,0.0,3
dependents,proxy_governance_review,include_with_governance_monitoring,include_with_monitoring,Potential socioeconomic/operational proxy; can be used only with documented monitoring.,int64,0,0.0,5
