split,feature,row_count,missing_count,missing_pct
train,amount,94091,19552,20.7799
train,income_to_loan_buffer,94091,19552,20.7799
train,loan_to_income_ratio,94091,19552,20.7799
validation,amount,20163,4117,20.4186
validation,income_to_loan_buffer,20163,4117,20.4186
validation,loan_to_income_ratio,20163,4117,20.4186
test,amount,20163,3969,19.6846
test,income_to_loan_buffer,20163,3969,19.6846
test,loan_to_income_ratio,20163,3969,19.6846
train,amount_missing_flag,94091,0,0.0
validation,amount_missing_flag,20163,0,0.0
test,amount_missing_flag,20163,0,0.0
train,amount_missing_raw_flag,94091,0,0.0
validation,amount_missing_raw_flag,20163,0,0.0
test,amount_missing_raw_flag,20163,0,0.0
train,amount_non_positive_flag,94091,0,0.0
validation,amount_non_positive_flag,20163,0,0.0
test,amount_non_positive_flag,20163,0,0.0
train,borrower_missingness_flag_count,94091,0,0.0
validation,borrower_missingness_flag_count,20163,0,0.0
test,borrower_missingness_flag_count,20163,0,0.0
train,broad_data_quality_issue_count,94091,0,0.0
validation,broad_data_quality_issue_count,20163,0,0.0
test,broad_data_quality_issue_count,20163,0,0.0
train,core_data_quality_issue_count,94091,0,0.0
validation,core_data_quality_issue_count,20163,0,0.0
test,core_data_quality_issue_count,20163,0,0.0
train,dependents,94091,0,0.0
validation,dependents,20163,0,0.0
test,dependents,20163,0,0.0
train,employment_type,94091,0,0.0
validation,employment_type,20163,0,0.0
test,employment_type,20163,0,0.0
train,employment_type_missing_flag,94091,0,0.0
validation,employment_type_missing_flag,20163,0,0.0
test,employment_type_missing_flag,20163,0,0.0
train,has_any_missingness_flag,94091,0,0.0
validation,has_any_missingness_flag,20163,0,0.0
test,has_any_missingness_flag,20163,0,0.0
train,has_broad_data_quality_issue,94091,0,0.0
validation,has_broad_data_quality_issue,20163,0,0.0
test,has_broad_data_quality_issue,20163,0,0.0
train,has_core_data_quality_issue,94091,0,0.0
validation,has_core_data_quality_issue,20163,0,0.0
test,has_core_data_quality_issue,20163,0,0.0
train,high_interest_flag,94091,0,0.0
validation,high_interest_flag,20163,0,0.0
test,high_interest_flag,20163,0,0.0
train,high_loan_to_income_flag,94091,0,0.0
validation,high_loan_to_income_flag,20163,0,0.0
test,high_loan_to_income_flag,20163,0,0.0
train,home,94091,0,0.0
validation,home,20163,0,0.0
test,home,20163,0,0.0
train,income_band,94091,0,0.0
validation,income_band,20163,0,0.0
test,income_band,20163,0,0.0
train,industry_missing_flag,94091,0,0.0
validation,industry_missing_flag,20163,0,0.0
test,industry_missing_flag,20163,0,0.0
train,industry_placeholder_zero_flag,94091,0,0.0
validation,industry_placeholder_zero_flag,20163,0,0.0
test,industry_placeholder_zero_flag,20163,0,0.0
train,interest_rate,94091,0,0.0
validation,interest_rate,20163,0,0.0
test,interest_rate,20163,0,0.0
train,interest_rate_band,94091,0,0.0
validation,interest_rate_band,20163,0,0.0
test,interest_rate_band,20163,0,0.0
train,is_verified,94091,0,0.0
validation,is_verified,20163,0,0.0
test,is_verified,20163,0,0.0
train,is_verified_missing_flag,94091,0,0.0
validation,is_verified_missing_flag,20163,0,0.0
test,is_verified_missing_flag,20163,0,0.0
train,loan_amount_band,94091,0,0.0
validation,loan_amount_band,20163,0,0.0
test,loan_amount_band,20163,0,0.0
train,loan_category,94091,0,0.0
validation,loan_category,20163,0,0.0
test,loan_category,20163,0,0.0
train,loan_to_income_band,94091,0,0.0
validation,loan_to_income_band,20163,0,0.0
test,loan_to_income_band,20163,0,0.0
train,loan_to_income_missing_flag,94091,0,0.0
validation,loan_to_income_missing_flag,20163,0,0.0
test,loan_to_income_missing_flag,20163,0,0.0
train,long_tenure_flag,94091,0,0.0
validation,long_tenure_flag,20163,0,0.0
test,long_tenure_flag,20163,0,0.0
train,married_missing_flag,94091,0,0.0
validation,married_missing_flag,20163,0,0.0
test,married_missing_flag,20163,0,0.0
train,social_profile_missing_flag,94091,0,0.0
validation,social_profile_missing_flag,20163,0,0.0
test,social_profile_missing_flag,20163,0,0.0
train,tenure_band,94091,0,0.0
validation,tenure_band,20163,0,0.0
test,tenure_band,20163,0,0.0
train,tenure_years,94091,0,0.0
validation,tenure_years,20163,0,0.0
test,tenure_years,20163,0,0.0
train,tier_of_employment,94091,0,0.0
validation,tier_of_employment,20163,0,0.0
test,tier_of_employment,20163,0,0.0
train,tier_of_employment_missing_flag,94091,0,0.0
validation,tier_of_employment_missing_flag,20163,0,0.0
test,tier_of_employment_missing_flag,20163,0,0.0
train,total_income_pa,94091,0,0.0
validation,total_income_pa,20163,0,0.0
test,total_income_pa,20163,0,0.0
train,work_experience,94091,0,0.0
validation,work_experience,20163,0,0.0
test,work_experience,20163,0,0.0
train,work_experience_missing_flag,94091,0,0.0
validation,work_experience_missing_flag,20163,0,0.0
test,work_experience_missing_flag,20163,0,0.0
train,work_experience_placeholder_zero_flag,94091,0,0.0
validation,work_experience_placeholder_zero_flag,20163,0,0.0
test,work_experience_placeholder_zero_flag,20163,0,0.0
