feature_1,feature_2,correlation,abs_correlation,recommended_action
employment_type_missing_flag,tier_of_employment_missing_flag,1.0,1.0,review_redundancy_before_linear_modeling
amount_missing_flag,loan_to_income_missing_flag,1.0,1.0,review_redundancy_before_linear_modeling
industry_placeholder_zero_flag,work_experience_placeholder_zero_flag,1.0,1.0,review_redundancy_before_linear_modeling
industry_missing_flag,work_experience_missing_flag,1.0,1.0,review_redundancy_before_linear_modeling
core_data_quality_issue_count,has_core_data_quality_issue,1.0,1.0,review_redundancy_before_linear_modeling
tenure_years,long_tenure_flag,1.0,1.0,review_redundancy_before_linear_modeling
work_experience_placeholder_zero_flag,work_experience_missing_flag,0.9999,0.9999,review_redundancy_before_linear_modeling
industry_placeholder_zero_flag,industry_missing_flag,0.9999,0.9999,review_redundancy_before_linear_modeling
industry_placeholder_zero_flag,work_experience_missing_flag,0.9999,0.9999,review_redundancy_before_linear_modeling
work_experience_placeholder_zero_flag,industry_missing_flag,0.9999,0.9999,review_redundancy_before_linear_modeling
amount_missing_raw_flag,amount_missing_flag,0.9996,0.9996,review_redundancy_before_linear_modeling
amount_missing_raw_flag,loan_to_income_missing_flag,0.9996,0.9996,review_redundancy_before_linear_modeling
has_core_data_quality_issue,loan_to_income_missing_flag,0.9404,0.9404,review_redundancy_before_linear_modeling
core_data_quality_issue_count,loan_to_income_missing_flag,0.9404,0.9404,review_redundancy_before_linear_modeling
amount_missing_flag,core_data_quality_issue_count,0.9404,0.9404,review_redundancy_before_linear_modeling
amount_missing_flag,has_core_data_quality_issue,0.9404,0.9404,review_redundancy_before_linear_modeling
amount_missing_raw_flag,has_core_data_quality_issue,0.94,0.94,review_redundancy_before_linear_modeling
amount_missing_raw_flag,core_data_quality_issue_count,0.94,0.94,review_redundancy_before_linear_modeling
amount,income_to_loan_buffer,-0.9286,0.9286,review_redundancy_before_linear_modeling
work_experience_placeholder_zero_flag,has_broad_data_quality_issue,0.9148,0.9148,review_redundancy_before_linear_modeling
industry_placeholder_zero_flag,has_broad_data_quality_issue,0.9148,0.9148,review_redundancy_before_linear_modeling
industry_missing_flag,has_broad_data_quality_issue,0.9147,0.9147,review_redundancy_before_linear_modeling
work_experience_missing_flag,has_broad_data_quality_issue,0.9147,0.9147,review_redundancy_before_linear_modeling
work_experience_placeholder_zero_flag,broad_data_quality_issue_count,0.8768,0.8768,review_redundancy_before_linear_modeling
industry_placeholder_zero_flag,broad_data_quality_issue_count,0.8768,0.8768,review_redundancy_before_linear_modeling
industry_missing_flag,broad_data_quality_issue_count,0.8767,0.8767,review_redundancy_before_linear_modeling
work_experience_missing_flag,broad_data_quality_issue_count,0.8767,0.8767,review_redundancy_before_linear_modeling
broad_data_quality_issue_count,has_broad_data_quality_issue,0.866,0.866,review_redundancy_before_linear_modeling
loan_to_income_ratio,income_to_loan_buffer,-0.8206,0.8206,review_redundancy_before_linear_modeling
