feature,category_value,row_count,share_pct,rare_category_flag,recommended_action
employment_type,Unknown,79686,59.2827,False,retain_category
employment_type,Salaried,44817,33.3418,False,retain_category
employment_type,Self-Employed,9914,7.3756,False,retain_category
home,Mortgage,65490,48.7215,False,retain_category
home,Rent,56442,41.9902,False,retain_category
home,Own,12397,9.2228,False,retain_category
home,Other/None,88,0.0655,True,group_or_handle_unknown_in_pipeline
income_band,<=50K,47235,35.1406,False,retain_category
income_band,50K-75K,41551,30.912,False,retain_category
income_band,75K-100K,23962,17.8266,False,retain_category
income_band,100K-150K,15837,11.782,False,retain_category
income_band,>150K,5832,4.3387,False,retain_category
interest_rate_band,8%-12%,44980,33.463,False,retain_category
interest_rate_band,12%-16%,43156,32.1061,False,retain_category
interest_rate_band,<=8%,24343,18.1101,False,retain_category
interest_rate_band,16%-20%,17512,13.0281,False,retain_category
interest_rate_band,>20%,4426,3.2927,False,retain_category
is_verified,Not Verified,33722,25.0876,False,retain_category
is_verified,Source Verified,33630,25.0192,False,retain_category
is_verified,Verified,33558,24.9656,False,retain_category
is_verified,Unknown,33507,24.9277,False,retain_category
loan_amount_band,>100K,47968,35.686,False,retain_category
loan_amount_band,Missing,27638,20.5614,False,retain_category
loan_amount_band,25K-50K,20377,15.1595,False,retain_category
loan_amount_band,10K-25K,16564,12.3228,False,retain_category
loan_amount_band,50K-100K,15317,11.3951,False,retain_category
loan_amount_band,<=10K,6553,4.8751,False,retain_category
loan_category,Consolidation,80868,60.162,False,retain_category
loan_category,Credit Card,31668,23.5595,False,retain_category
loan_category,Home,8503,6.3258,False,retain_category
loan_category,Other,8225,6.119,False,retain_category
loan_category,Business,2236,1.6635,False,retain_category
loan_category,Car,1538,1.1442,False,retain_category
loan_category,Medical,1379,1.0259,False,retain_category
loan_to_income_band,>100%,58658,43.6388,False,retain_category
loan_to_income_band,Missing,27638,20.5614,False,retain_category
loan_to_income_band,50%-100%,22826,16.9815,False,retain_category
loan_to_income_band,25%-50%,16403,12.2031,False,retain_category
loan_to_income_band,10%-25%,7124,5.2999,False,retain_category
loan_to_income_band,<=10%,1768,1.3153,False,retain_category
tenure_band,3Y-5Y,99263,73.8471,False,retain_category
tenure_band,>5Y,35154,26.1529,False,retain_category
tier_of_employment,Unknown,79686,59.2827,False,retain_category
tier_of_employment,B,16890,12.5654,False,retain_category
tier_of_employment,C,13932,10.3648,False,retain_category
tier_of_employment,A,10526,7.8309,False,retain_category
tier_of_employment,D,8163,6.0729,False,retain_category
tier_of_employment,E,3712,2.7616,False,retain_category
tier_of_employment,F,1252,0.9314,True,group_or_handle_unknown_in_pipeline
tier_of_employment,G,256,0.1905,True,group_or_handle_unknown_in_pipeline
work_experience,Unknown,113583,84.5005,False,retain_category
work_experience,5-10,8132,6.0498,False,retain_category
work_experience,10+,6486,4.8253,False,retain_category
work_experience,1-2,1843,1.3711,False,retain_category
work_experience,2-3,1538,1.1442,False,retain_category
work_experience,<1,1443,1.0735,False,retain_category
work_experience,3-5,1392,1.0356,False,retain_category
