feature,feature_type,screening_test,non_default_mean_or_rate,default_mean_or_rate,effect_size,p_value,leakage_safe_scope,highest_risk_category_on_train,absolute_effect_size,screening_recommendation
interest_rate,numeric_or_binary,mann_whitney_u_and_cohens_d,11.798508,14.213167,0.630629,0.0,training_split_only,,0.630629,stronger_univariate_signal_review_in_model
total_income_pa,numeric_or_binary,mann_whitney_u_and_cohens_d,73498.825646,64025.014355,-0.191201,0.0,training_split_only,,0.191201,stronger_univariate_signal_review_in_model
interest_rate_band,categorical,chi_square_and_cramers_v,,0.216207,0.178573,0.0,training_split_only,>20%,0.178573,stronger_univariate_signal_review_in_model
amount,numeric_or_binary,mann_whitney_u_and_cohens_d,139676.942922,114558.785424,-0.174015,0.0,training_split_only,,0.174015,stronger_univariate_signal_review_in_model
high_interest_flag,numeric_or_binary,chi_square_binary_flag,0.145109,0.340661,0.151904,0.0,training_split_only,,0.151904,stronger_univariate_signal_review_in_model
loan_to_income_band,categorical,chi_square_and_cramers_v,,0.158603,0.125243,0.0,training_split_only,Missing,0.125243,stronger_univariate_signal_review_in_model
loan_amount_band,categorical,chi_square_and_cramers_v,,0.158603,0.125147,0.0,training_split_only,Missing,0.125147,stronger_univariate_signal_review_in_model
income_to_loan_buffer,numeric_or_binary,mann_whitney_u_and_cohens_d,-65277.423441,-49417.841265,0.122614,0.0,training_split_only,,0.122614,stronger_univariate_signal_review_in_model
amount_missing_flag,numeric_or_binary,chi_square_binary_flag,0.192221,0.364523,0.121784,0.0,training_split_only,,0.121784,stronger_univariate_signal_review_in_model
loan_to_income_missing_flag,numeric_or_binary,chi_square_binary_flag,0.192221,0.364523,0.121784,0.0,training_split_only,,0.121784,stronger_univariate_signal_review_in_model
amount_missing_raw_flag,numeric_or_binary,chi_square_binary_flag,0.192092,0.364288,0.121738,0.0,training_split_only,,0.121738,stronger_univariate_signal_review_in_model
tenure_years,numeric_or_binary,mann_whitney_u_and_cohens_d,4.515283,4.615963,0.111947,0.0,training_split_only,,0.111947,stronger_univariate_signal_review_in_model
borrower_missingness_flag_count,numeric_or_binary,mann_whitney_u_and_cohens_d,4.393169,4.61996,0.109756,0.0,training_split_only,,0.109756,stronger_univariate_signal_review_in_model
core_data_quality_issue_count,numeric_or_binary,chi_square_binary_flag,0.214655,0.36852,0.105081,0.0,training_split_only,,0.105081,stronger_univariate_signal_review_in_model
has_core_data_quality_issue,numeric_or_binary,chi_square_binary_flag,0.214655,0.36852,0.105081,0.0,training_split_only,,0.105081,stronger_univariate_signal_review_in_model
tier_of_employment,categorical,chi_square_and_cramers_v,,0.273256,0.104788,0.0,training_split_only,G,0.104788,stronger_univariate_signal_review_in_model
work_experience,categorical,chi_square_and_cramers_v,,0.15907,0.084339,0.0,training_split_only,2-3,0.084339,modest_signal_keep_if_business_relevant
industry_missing_flag,numeric_or_binary,chi_square_binary_flag,0.855125,0.749383,0.083914,0.0,training_split_only,,0.083914,modest_signal_keep_if_business_relevant
work_experience_missing_flag,numeric_or_binary,chi_square_binary_flag,0.855125,0.749383,0.083914,0.0,training_split_only,,0.083914,modest_signal_keep_if_business_relevant
industry_placeholder_zero_flag,numeric_or_binary,chi_square_binary_flag,0.855078,0.749383,0.083868,0.0,training_split_only,,0.083868,modest_signal_keep_if_business_relevant
work_experience_placeholder_zero_flag,numeric_or_binary,chi_square_binary_flag,0.855078,0.749383,0.083868,0.0,training_split_only,,0.083868,modest_signal_keep_if_business_relevant
has_broad_data_quality_issue,numeric_or_binary,chi_square_binary_flag,0.876052,0.780651,0.080675,0.0,training_split_only,,0.080675,modest_signal_keep_if_business_relevant
high_loan_to_income_flag,numeric_or_binary,chi_square_binary_flag,0.61612,0.483602,0.077709,0.0,training_split_only,,0.077709,modest_signal_keep_if_business_relevant
loan_to_income_ratio,numeric_or_binary,mann_whitney_u_and_cohens_d,1.813758,1.699894,-0.073834,1.123e-05,training_split_only,,0.073834,modest_signal_keep_if_business_relevant
income_band,categorical,chi_square_and_cramers_v,,0.110281,0.065351,0.0,training_split_only,<=50K,0.065351,modest_signal_keep_if_business_relevant
loan_category,categorical,chi_square_and_cramers_v,,0.187622,0.061801,0.0,training_split_only,Business,0.061801,modest_signal_keep_if_business_relevant
broad_data_quality_issue_count,numeric_or_binary,mann_whitney_u_and_cohens_d,1.924811,1.867286,-0.05851,0.0,training_split_only,,0.05851,modest_signal_keep_if_business_relevant
employment_type,categorical,chi_square_and_cramers_v,,0.143529,0.052939,0.0,training_split_only,Self-Employed,0.052939,modest_signal_keep_if_business_relevant
home,categorical,chi_square_and_cramers_v,,0.142857,0.040821,0.0,training_split_only,Other/None,0.040821,modest_signal_keep_if_business_relevant
long_tenure_flag,numeric_or_binary,chi_square_binary_flag,0.257642,0.307982,0.032822,0.0,training_split_only,,0.032822,modest_signal_keep_if_business_relevant
tenure_band,categorical,chi_square_and_cramers_v,,0.106202,0.032822,0.0,training_split_only,>5Y,0.032822,modest_signal_keep_if_business_relevant
employment_type_missing_flag,numeric_or_binary,chi_square_binary_flag,0.594983,0.554249,0.023762,0.0,training_split_only,,0.023762,weak_univariate_signal_do_not_drop_blindly
tier_of_employment_missing_flag,numeric_or_binary,chi_square_binary_flag,0.594983,0.554249,0.023762,0.0,training_split_only,,0.023762,weak_univariate_signal_do_not_drop_blindly
has_any_missingness_flag,numeric_or_binary,chi_square_binary_flag,0.977741,0.966851,0.020727,0.0,training_split_only,,0.020727,weak_univariate_signal_do_not_drop_blindly
is_verified,categorical,chi_square_and_cramers_v,,0.09355,0.00802,0.1090751,training_split_only,Source Verified,0.00802,weak_univariate_signal_do_not_drop_blindly
dependents,numeric_or_binary,mann_whitney_u_and_cohens_d,1.998855,2.0067,0.005549,0.62581518,training_split_only,,0.005549,weak_univariate_signal_do_not_drop_blindly
social_profile_missing_flag,numeric_or_binary,chi_square_binary_flag,0.332737,0.327965,0.002905,0.37933126,training_split_only,,0.002905,weak_univariate_signal_do_not_drop_blindly
amount_non_positive_flag,numeric_or_binary,chi_square_binary_flag,0.000129,0.000235,0.0026,0.75352575,training_split_only,,0.0026,weak_univariate_signal_do_not_drop_blindly
is_verified_missing_flag,numeric_or_binary,chi_square_binary_flag,0.249392,0.253086,0.002447,0.46086631,training_split_only,,0.002447,weak_univariate_signal_do_not_drop_blindly
married_missing_flag,numeric_or_binary,chi_square_binary_flag,0.334291,0.33831,0.002442,0.46111349,training_split_only,,0.002442,weak_univariate_signal_do_not_drop_blindly
