model_name,dataset,threshold,true_negative,false_positive,false_negative,true_positive,precision,recall,review_rate,business_cost
xgboost_base,validation,0.5,11968,6372,513,1310,0.17052850820098933,0.7185957213384531,0.3809948916331895,5751000.0
xgboost_tuned_hyperopt,validation,0.5,11976,6364,512,1311,0.17081433224755702,0.7191442676906199,0.380647721073253,5742000.0
random_forest_base,validation,0.5,12438,5902,573,1250,0.17477628635346756,0.6856829402084477,0.35470912066656746,5816000.0
random_forest_tuned_random_search,validation,0.5,12315,6025,568,1255,0.1723901098901099,0.6884256719692814,0.3610573823339781,5852500.0
logistic_regression_balanced,validation,0.5,12354,5986,580,1243,0.17194632729284826,0.6818431157432803,0.35852799682586917,5893000.0
dummy_majority_baseline,validation,0.5,18340,0,1823,0,0.0,0.0,0.0,9115000.0
xgboost_tuned_hyperopt,test,0.5,11998,6342,502,1321,0.1723867936839358,0.7246297312122875,0.3800525715419332,5681000.0
xgboost_base,test,0.5,12025,6315,500,1323,0.17321288295365278,0.7257268239166209,0.3788126766850171,5657500.0
random_forest_base,test,0.5,12484,5856,570,1253,0.17625545083696723,0.6873285792649478,0.3525765015126717,5778000.0
random_forest_tuned_random_search,test,0.5,12302,6038,559,1264,0.1731032593809915,0.6933625891387822,0.3621484898080643,5814000.0
logistic_regression_balanced,test,0.5,12378,5962,576,1247,0.17297822166736024,0.6840373011519474,0.3575360809403363,5861000.0
dummy_majority_baseline,test,0.5,18340,0,1823,0,0.0,0.0,0.0,9115000.0
