feature,feature_type,model_use
amount,numeric,candidate_feature
interest_rate,numeric,candidate_feature
tenure_years,numeric,candidate_feature
total_income_pa,numeric,candidate_feature
dependents,numeric,candidate_feature
amount_missing_raw_flag,numeric,candidate_feature
amount_non_positive_flag,numeric,candidate_feature
industry_placeholder_zero_flag,numeric,candidate_feature
work_experience_placeholder_zero_flag,numeric,candidate_feature
amount_missing_flag,numeric,candidate_feature
employment_type_missing_flag,numeric,candidate_feature
tier_of_employment_missing_flag,numeric,candidate_feature
industry_missing_flag,numeric,candidate_feature
work_experience_missing_flag,numeric,candidate_feature
married_missing_flag,numeric,candidate_feature
social_profile_missing_flag,numeric,candidate_feature
is_verified_missing_flag,numeric,candidate_feature
loan_to_income_ratio,numeric,candidate_feature
core_data_quality_issue_count,numeric,candidate_feature
has_core_data_quality_issue,numeric,candidate_feature
broad_data_quality_issue_count,numeric,candidate_feature
has_broad_data_quality_issue,numeric,candidate_feature
income_to_loan_buffer,numeric,candidate_feature
loan_to_income_missing_flag,numeric,candidate_feature
high_interest_flag,numeric,candidate_feature
long_tenure_flag,numeric,candidate_feature
high_loan_to_income_flag,numeric,candidate_feature
borrower_missingness_flag_count,numeric,candidate_feature
has_any_missingness_flag,numeric,candidate_feature
loan_category,categorical,candidate_feature
employment_type,categorical,candidate_feature
tier_of_employment,categorical,candidate_feature
work_experience,categorical,candidate_feature
home,categorical,candidate_feature
is_verified,categorical,candidate_feature
loan_amount_band,categorical,candidate_feature
income_band,categorical,candidate_feature
interest_rate_band,categorical,candidate_feature
tenure_band,categorical,candidate_feature
loan_to_income_band,categorical,candidate_feature
defaulter,excluded,target_or_split_control
record_sequence,excluded,identifier_or_audit_key
split,excluded,target_or_split_control
user_id,excluded,identifier_or_audit_key
