column,dtype,feature_role,reason
user_id,int64,excluded,id_target_or_split
record_sequence,int64,excluded,id_target_or_split
defaulter,int64,excluded,id_target_or_split
loan_category,object,model_feature,included_after_defensive_leakage_review
amount,float64,model_feature,included_after_defensive_leakage_review
interest_rate,float64,model_feature,included_after_defensive_leakage_review
tenure_years,int64,model_feature,included_after_defensive_leakage_review
employment_type,object,model_feature,included_after_defensive_leakage_review
tier_of_employment,object,model_feature,included_after_defensive_leakage_review
work_experience,object,model_feature,included_after_defensive_leakage_review
total_income_pa,float64,model_feature,included_after_defensive_leakage_review
dependents,int64,model_feature,included_after_defensive_leakage_review
home,object,model_feature,included_after_defensive_leakage_review
is_verified,object,model_feature,included_after_defensive_leakage_review
amount_missing_raw_flag,int64,model_feature,included_after_defensive_leakage_review
amount_non_positive_flag,int64,model_feature,included_after_defensive_leakage_review
industry_placeholder_zero_flag,int64,model_feature,included_after_defensive_leakage_review
work_experience_placeholder_zero_flag,int64,model_feature,included_after_defensive_leakage_review
amount_missing_flag,int64,model_feature,included_after_defensive_leakage_review
employment_type_missing_flag,int64,model_feature,included_after_defensive_leakage_review
tier_of_employment_missing_flag,int64,model_feature,included_after_defensive_leakage_review
industry_missing_flag,int64,model_feature,included_after_defensive_leakage_review
work_experience_missing_flag,int64,model_feature,included_after_defensive_leakage_review
married_missing_flag,int64,model_feature,included_after_defensive_leakage_review
social_profile_missing_flag,int64,model_feature,included_after_defensive_leakage_review
is_verified_missing_flag,int64,model_feature,included_after_defensive_leakage_review
loan_to_income_ratio,float64,model_feature,included_after_defensive_leakage_review
core_data_quality_issue_count,int64,model_feature,included_after_defensive_leakage_review
has_core_data_quality_issue,int64,model_feature,included_after_defensive_leakage_review
broad_data_quality_issue_count,int64,model_feature,included_after_defensive_leakage_review
has_broad_data_quality_issue,int64,model_feature,included_after_defensive_leakage_review
income_to_loan_buffer,float64,model_feature,included_after_defensive_leakage_review
loan_to_income_missing_flag,int64,model_feature,included_after_defensive_leakage_review
loan_amount_band,object,model_feature,included_after_defensive_leakage_review
income_band,object,model_feature,included_after_defensive_leakage_review
interest_rate_band,object,model_feature,included_after_defensive_leakage_review
high_interest_flag,int64,model_feature,included_after_defensive_leakage_review
tenure_band,object,model_feature,included_after_defensive_leakage_review
long_tenure_flag,int64,model_feature,included_after_defensive_leakage_review
loan_to_income_band,object,model_feature,included_after_defensive_leakage_review
high_loan_to_income_flag,int64,model_feature,included_after_defensive_leakage_review
borrower_missingness_flag_count,int64,model_feature,included_after_defensive_leakage_review
has_any_missingness_flag,int64,model_feature,included_after_defensive_leakage_review
split,object,excluded,id_target_or_split
