raw_feature,feature_label,mean_abs_shap,mean_shap,transformed_feature_count,positive_contribution_share
interest_rate,Interest Rate,0.6285781495294844,0.0015532210192953546,1,0.5626666666666666
amount_missing_flag,Amount Missing Flag,0.1923724641557783,0.060984824522708855,1,0.298
amount_missing_raw_flag,Amount Missing Raw Flag,0.18184187314411004,0.05832002517084281,1,0.298
broad_data_quality_issue_count,Broad Data Quality Issue Count,0.1588578299234311,-0.0328992936561505,1,0.156
total_income_pa,Total Income Pa,0.14196965013281443,-0.0201614161687127,1,0.5206666666666667
core_data_quality_issue_count,Core Data Quality Issue Count,0.1062402452584356,-0.07796904008028407,1,0.6893333333333334
amount,Amount,0.06302131421929032,-0.02142080380632736,1,0.5253333333333333
income_to_loan_buffer,Income To Loan Buffer,0.062619120467647,0.04065439979332465,1,0.7993333333333333
high_interest_flag,High Interest Flag,0.061994557759928286,0.011854532135136348,1,0.322
tenure_years,Tenure Years,0.0618123875274711,-0.011569304446262928,1,0.6366666666666667
loan_to_income_missing_flag,Loan To Income Missing Flag,0.061636231193629404,0.010457037588271002,1,0.298
loan_category,Loan Category,0.05677720162082793,-0.00015456799093226437,1,0.5673333333333334
loan_to_income_ratio,Loan To Income Ratio,0.04892557635850001,-0.029649776833699435,1,0.39666666666666667
home,Home,0.044754966495238475,-0.0015960739402313873,1,0.452
interest_rate_band,Interest Rate Band,0.043612938881087755,0.008993411643069217,1,0.6866666666666666
borrower_missingness_flag_count,Borrower Missingness Flag Count,0.02942976327042561,-0.005017961557217253,1,0.48733333333333334
tier_of_employment,Tier Of Employment,0.0267117595105301,0.0019219803707649892,1,0.248
loan_amount_band,Loan Amount Band,0.024995322309497473,0.004116083781521108,1,0.476
dependents,Dependents,0.024447997610277526,-0.004866231744603283,1,0.49066666666666664
has_broad_data_quality_issue,Has Broad Data Quality Issue,0.02440294497522215,-0.002828039083008965,1,0.156
employment_type,Employment Type,0.0234322051088396,-0.001334097097869138,1,0.666
is_verified,Is Verified,0.02214656641823482,-0.0029005764249377536,1,0.5526666666666666
has_core_data_quality_issue,Has Core Data Quality Issue,0.020111034309918372,-0.0156567201926761,1,0.6893333333333334
work_experience,Work Experience,0.019433633041616608,-0.003467147139182392,1,0.16666666666666666
married_missing_flag,Married Missing Flag,0.015217252077607555,-0.000251395262084164,1,0.3466666666666667
long_tenure_flag,Long Tenure Flag,0.015064795803074958,-0.0012211981542544284,1,0.6673333333333333
industry_missing_flag,Industry Missing Flag,0.014543331007065717,-0.0013617388974914017,1,0.19666666666666666
industry_placeholder_zero_flag,Industry Placeholder Zero Flag,0.011802657993811106,0.007032501267492383,1,0.8153333333333334
income_band,Income Band,0.008856075660485657,-0.002001612608762419,1,0.468
social_profile_missing_flag,Social Profile Missing Flag,0.007679655410631919,-0.001035180163425442,1,0.6333333333333333
work_experience_placeholder_zero_flag,Work Experience Placeholder Zero Flag,0.004100519208741995,0.0031525110175134614,1,0.8153333333333334
loan_to_income_band,Loan To Income Band,0.004006050395226339,-0.0003491810698469635,1,0.24666666666666667
employment_type_missing_flag,Employment Type Missing Flag,0.0035986613371690812,0.0002568996321982316,1,0.6726666666666666
high_loan_to_income_flag,High Loan To Income Flag,0.003229555778079278,0.00017390524458217745,1,0.5393333333333333
is_verified_missing_flag,Is Verified Missing Flag,0.0025520161965432637,-0.0007636360373592955,1,0.252
work_experience_missing_flag,Work Experience Missing Flag,0.002391602863674052,-0.0003303250978933647,1,0.18866666666666668
tier_of_employment_missing_flag,Tier Of Employment Missing Flag,0.0011205858899193117,-7.333024296288689e-05,1,0.49733333333333335
tenure_band,Tenure Band,0.0005943827097350246,-0.0004737398660230004,1,0.6606666666666666
has_any_missingness_flag,Has Any Missingness Flag,0.0004109592552219207,4.427263292018324e-05,1,0.9786666666666667
amount_non_positive_flag,Amount Non Positive Flag,0.0,0.0,1,0.0
