score_decile,row_count,average_score,min_score,max_score,observed_default_rate,review_rate_at_threshold
"(0.00254, 0.109]",2017,0.07157145,0.0035399878,0.10929336,0.012890431333663858,0.0
"(0.109, 0.179]",2016,0.14317524,0.10934728,0.17934746,0.018353174603174604,0.0
"(0.179, 0.259]",2016,0.21733381,0.17940222,0.2588044,0.03273809523809524,0.0
"(0.259, 0.339]",2016,0.2995965,0.25881806,0.33885452,0.03670634920634921,0.0
"(0.339, 0.414]",2017,0.37711233,0.3388624,0.41418362,0.05404065443728309,0.0
"(0.414, 0.484]",2016,0.4503329,0.41424495,0.4841423,0.07093253968253968,0.0
"(0.484, 0.556]",2016,0.51936924,0.48414811,0.55605036,0.10912698412698413,0.0
"(0.556, 0.63]",2016,0.592133,0.5560603,0.62998974,0.13640873015873015,0.9464285714285714
"(0.63, 0.705]",2016,0.6670834,0.630018,0.705428,0.18501984126984128,1.0
"(0.705, 0.893]",2017,0.7641038,0.70550305,0.8934847,0.2478929102627665,1.0
