raw_feature,feature_label,mean_abs_shap,mean_shap,transformed_feature_count,positive_contribution_share,governance_note,governance_action
interest_rate,Interest Rate,0.6285781495294844,0.0015532210192953,1,0.5626666666666666,Pricing/risk signal: explain carefully because pricing can reflect prior underwriting risk.,Monitor as top driver; include in periodic drift and reason-code review.
amount_missing_flag,Amount Missing Flag,0.1923724641557783,0.0609848245227088,1,0.298,Data-quality signal: monitor for drift and avoid treating this as borrower behaviour alone.,Monitor as top driver; include in periodic drift and reason-code review.
amount_missing_raw_flag,Amount Missing Raw Flag,0.18184187314411,0.0583200251708428,1,0.298,Data-quality signal: monitor for drift and avoid treating this as borrower behaviour alone.,Monitor as top driver; include in periodic drift and reason-code review.
broad_data_quality_issue_count,Broad Data Quality Issue Count,0.1588578299234311,-0.0328992936561505,1,0.156,Data-quality signal: monitor for drift and avoid treating this as borrower behaviour alone.,Monitor as top driver; include in periodic drift and reason-code review.
total_income_pa,Total Income Pa,0.1419696501328144,-0.0201614161687127,1,0.5206666666666667,Affordability/exposure signal: suitable for portfolio risk interpretation.,Monitor as top driver; include in periodic drift and reason-code review.
core_data_quality_issue_count,Core Data Quality Issue Count,0.1062402452584356,-0.077969040080284,1,0.6893333333333334,Data-quality signal: monitor for drift and avoid treating this as borrower behaviour alone.,Monitor as top driver; include in periodic drift and reason-code review.
amount,Amount,0.0630213142192903,-0.0214208038063273,1,0.5253333333333333,Affordability/exposure signal: suitable for portfolio risk interpretation.,Monitor as top driver; include in periodic drift and reason-code review.
income_to_loan_buffer,Income To Loan Buffer,0.062619120467647,0.0406543997933246,1,0.7993333333333333,Affordability/exposure signal: suitable for portfolio risk interpretation.,Monitor as top driver; include in periodic drift and reason-code review.
high_interest_flag,High Interest Flag,0.0619945577599282,0.0118545321351363,1,0.322,Pricing/risk signal: explain carefully because pricing can reflect prior underwriting risk.,Monitor as top driver; include in periodic drift and reason-code review.
tenure_years,Tenure Years,0.0618123875274711,-0.0115693044462629,1,0.6366666666666667,Segment/product signal: monitor stability and business reasonableness.,Monitor as top driver; include in periodic drift and reason-code review.
loan_to_income_missing_flag,Loan To Income Missing Flag,0.0616362311936294,0.010457037588271,1,0.298,Data-quality signal: monitor for drift and avoid treating this as borrower behaviour alone.,Monitor as top driver; include in periodic drift and reason-code review.
loan_category,Loan Category,0.0567772016208279,-0.0001545679909322,1,0.5673333333333334,Segment/product signal: monitor stability and business reasonableness.,Monitor as top driver; include in periodic drift and reason-code review.
