dataset,expected_column,present
loan_information,user_id,True
loan_information,loan_category,True
loan_information,amount,True
loan_information,interest_rate,True
loan_information,tenure_years,True
employment,user_id,True
employment,employment_type,True
employment,tier_of_employment,True
employment,industry,True
employment,role,True
employment,work_experience,True
employment,total_income_pa,True
personal_information,user_id,True
personal_information,gender,True
personal_information,married,True
personal_information,dependents,True
personal_information,home,True
personal_information,pincode,True
personal_information,social_profile,True
personal_information,is_verified,True
other_information,user_id,True
other_information,delinq_2yrs,True
other_information,total_payment,True
other_information,received_principal,True
other_information,interest_received,True
other_information,number_of_loans,True
other_information,defaulter,True
