segment,segment_value,row_count,portfolio_share_pct,default_count,default_rate_pct,default_rate_lift_vs_portfolio,exposure,exposure_share_pct,amount_missing_rate_pct
tier_of_employment,F,1252,0.9314298042658294,305,24.361022364217252,2.6944256917065665,135447896.0,0.9215070431042574,22.923322683706072
loan_category,Business,2236,1.6634800657654911,434,19.409660107334524,2.1467853885029085,173506382.0,1.18043437925782,43.20214669051878
tier_of_employment,E,3712,2.7615554580149833,669,18.02262931034483,1.9933742812545223,392339239.0,2.6692431754323045,21.417025862068968
work_experience,2-3,1538,1.1442005103521133,249,16.189856957087127,1.7906623900277958,164623095.0,1.1199977702135826,10.92327698309493
work_experience,5-10,8132,6.049830006621186,1236,15.199212985735366,1.6810932378043204,936799126.0,6.373424896780327,9.702410231185441
employment_type,Self-Employed,9914,7.3755551753126465,1451,14.635868468831955,1.6187850999547313,661358688.0,4.4994917382119475,48.950978414363526
work_experience,1-2,1843,1.371106333276297,269,14.595767769940316,1.614349803613978,217096596.0,1.4769963074801808,9.983722192078133
tier_of_employment,D,8163,6.072892565672497,1163,14.24721303442362,1.5757982674632762,767992228.0,5.224963015677487,21.86696067622198
work_experience,<1,1443,1.0735249261626132,203,14.067914067914067,1.5559670906498848,153151240.0,1.0419500818244565,10.325710325710325
work_experience,10+,6486,4.825282516348379,895,13.798951588035768,1.526218773643548,954183466.0,6.4916976217381155,8.541473943879124
work_experience,3-5,1392,1.0355832967556187,189,13.577586206896552,1.5017348845325547,158227144.0,1.0764835181070036,11.709770114942529
loan_category,Other,8225,6.119017683775118,935,11.367781155015196,1.2573216814890789,650587568.0,4.426211434602646,29.422492401215806
loan_category,Medical,1379,1.025911901024424,150,10.877447425670777,1.2030888263115187,130687686.0,0.8891214013099005,23.785351704133433
home,Rent,56442,41.99022445077632,5853,10.36993728074838,1.1469561914476714,2111629876.0,14.366275598429151,23.489599943304633
tier_of_employment,C,13932,10.364760409769598,1443,10.357450473729543,1.1455751010674762,1363151468.0,9.274073024950551,20.61441286247488
loan_category,Consolidation,80868,60.1620330761734,7637,9.44378493347183,1.044520068627074,9009189646.0,61.293175875178974,18.75649206113667
is_verified,Source Verified,33630,25.019156803082943,3125,9.292298542967588,1.0277650730272971,3659234232.0,24.895256528430668,20.270591733571216
is_verified,Unknown,33507,24.927650520395485,3057,9.12346673829349,1.0090916058267063,3734907051.0,25.41008944750424,20.37783149789596
employment_type,Salaried,44817,33.34176480653489,4019,8.967579266796081,0.9918498332139626,4913757818.0,33.43028995736935,20.322645424727224
is_verified,Not Verified,33722,25.08760052671909,3024,8.967439653638575,0.9918343914450228,3654402811.0,24.86238640928388,20.763893007532175
is_verified,Verified,33558,24.96559214980248,2947,8.781810596579056,0.9713030815110401,3649975794.0,24.832267614781216,20.83258835449073
home,Own,12397,9.222791759970837,1080,8.711785109300637,0.9635579848900384,1031294798.0,7.016317328943836,17.504234895539245
loan_category,Home,8503,6.325836761719128,735,8.644007997177466,0.9560615674784855,1104943930.0,7.517382283518804,25.69681288956839
employment_type,Unknown,79686,59.28268001815247,6683,8.386667670607133,0.9275987067226191,9123403382.0,62.07021830441871,17.163617197500187
tier_of_employment,Unknown,79686,59.28268001815247,6683,8.386667670607133,0.9275987067226191,9123403382.0,62.07021830441871,17.163617197500187
tier_of_employment,B,16890,12.565374915375289,1386,8.206039076376555,0.9076204678098473,1657254660.0,11.274976478094214,28.312611012433393
work_experience,Unknown,113583,84.5004724104838,9112,8.022327284892986,0.8873012150526294,12114439221.0,82.41944980385634,22.565876935809058
home,Mortgage,65490,48.721515879687836,5204,7.946251336081844,0.8788869133893797,11546242225.0,78.55377489012653,18.64254084593068
loan_category,Car,1538,1.1442005103521133,115,7.477243172951886,0.8270127504144439,100351576.0,0.6827325252111126,37.90637191157347
loan_category,Credit Card,31668,23.559520001190325,2147,6.779714538335228,0.7498633169582871,3529253100.0,24.01094210092074,18.908677529367186
tier_of_employment,A,10526,7.830854728196582,429,4.07562226866806,0.45077998723570695,1229511044.0,8.36486294789303,31.95895876876306
