column,missing_rate_non_default,missing_rate_default,absolute_gap
amount,0.18946705489759863,0.3664938698263803,0.1770268149287817
tier_of_employment,0.5970931754236734,0.5499053731588908,0.047187802264782586
employment_type,0.5970931754236734,0.5499053731588908,0.047187802264782586
social_profile,0.3341048877838121,0.32888998601168434,0.005214901772127745
married,0.33502911731989793,0.3391755122192051,0.004146394899307182
is_verified,0.24905123339658444,0.2515428289311281,0.0024915955345436724
work_experience,3.2716089772950334e-05,0.0,3.2716089772950334e-05
industry,3.2716089772950334e-05,0.0,3.2716089772950334e-05
interest_rate,0.0,0.0,0.0
role,0.0,0.0,0.0
user_id,0.0,0.0,0.0
total_payment,0.0,0.0,0.0
total_income_pa,0.0,0.0,0.0
dependents,0.0,0.0,0.0
tenure_years,0.0,0.0,0.0
gender,0.0,0.0,0.0
record_sequence,0.0,0.0,0.0
interest_received,0.0,0.0,0.0
received_principal,0.0,0.0,0.0
pincode,0.0,0.0,0.0
delinq_2yrs,0.0,0.0,0.0
home,0.0,0.0,0.0
loan_category,0.0,0.0,0.0
number_of_loans,0.0,0.0,0.0
