column,dtype,missing_count,missing_pct,unique_values
employment_type,object,79686,59.28,2
tier_of_employment,object,79686,59.28,7
married,object,45084,33.54,2
social_profile,object,44846,33.36,2
is_verified,object,33507,24.93,3
amount,float64,27619,20.55,86157
industry,object,4,0.0,12974
work_experience,object,4,0.0,7
user_id,int64,0,0.0,133752
loan_category,object,0,0.0,7
interest_rate,float64,0,0.0,137
tenure_years,int64,0,0.0,2
record_sequence,int64,0,0.0,2
role,object,0,0.0,46
total_income_pa,float64,0,0.0,11380
gender,object,0,0.0,3
dependents,int64,0,0.0,5
home,object,0,0.0,5
pincode,object,0,0.0,844
delinq_2yrs,int64,0,0.0,22
total_payment,float64,0,0.0,104202
received_principal,float64,0,0.0,42022
interest_received,float64,0,0.0,93862
number_of_loans,int64,0,0.0,5
defaulter,int64,0,0.0,2
