column,count,mean,median,std,min,max,missing_count,missing_pct,skew
user_id,134417.0,38978883.15364872,58718437.0,31684296.59716513,208036.0,78958941.0,0,0.0,-0.17098094537155897
amount,106798.0,137629.16803685462,76503.0,157596.64995030937,0.0,8000078.0,27619,20.55,4.347861040164607
interest_rate,134417.0,12.024809957073881,11.84,3.879282877204204,5.42,23.54,0,0.0,0.3643824754050034
tenure_years,134417.0,4.523058839283721,4.0,0.8789384941508249,4.0,6.0,0,0.0,1.085282441119505
record_sequence,134417.0,1.004947290893265,1.0,0.07016303748991894,1.0,2.0,0,0.0,14.111705902457647
total_income_pa,134417.0,72597.97502161184,62000.0,56100.051280489344,4000.0,7141778.0,0,0.0,28.73854019277493
dependents,134417.0,2.00206819077944,2.0,1.4139753036767766,0.0,4.0,0,0.0,-0.004588109137909749
delinq_2yrs,134417.0,0.2831040716576028,0.0,0.799211561958363,0.0,22.0,0,0.0,5.423503306042848
total_payment,134417.0,10696.436129307345,8061.14,8544.311642614546,0.0,57777.5798702,0,0.0,1.6001188936418573
received_principal,134417.0,8282.67623514883,5869.12,7184.016451242923,0.0,35000.01,0,0.0,1.5556031950075142
interest_received,134417.0,2335.8745198152023,1627.03,2419.9096360823182,0.0,24205.62,0,0.0,2.8500057248481867
number_of_loans,134417.0,0.005646607199982145,0.0,0.0990489467607619,0.0,5.0,0,0.0,22.911839195579862
defaulter,134417.0,0.0904126710163149,0.0,0.2867731363895376,0.0,1.0,0,0.0,2.8565675886508295
