column,dtype,row_count,non_null_count,missing_count,missing_pct,unique_values,top_value,top_value_share_pct,cardinality_level
industry,string,134417,134417,0,0.0,12974,Unknown,84.5,very_high_cardinality
pincode,string,134417,134417,0,0.0,844,XX112X,1.18,very_high_cardinality
role,string,134417,134417,0,0.0,46,KHMbckjadbckIFGCASEWdkcndwkcnCCM,15.53,medium_cardinality
tier_of_employment,string,134417,134417,0,0.0,8,Unknown,59.28,low_cardinality
work_experience,string,134417,134417,0,0.0,7,Unknown,84.5,low_cardinality
loan_category,string,134417,134417,0,0.0,7,Consolidation,60.16,low_cardinality
home,string,134417,134417,0,0.0,4,Mortgage,48.72,low_cardinality
is_verified,string,134417,134417,0,0.0,4,Not Verified,25.09,low_cardinality
employment_type,string,134417,134417,0,0.0,3,Unknown,59.28,low_cardinality
married,string,134417,134417,0,0.0,3,Unknown,33.54,low_cardinality
social_profile,string,134417,134417,0,0.0,3,No,33.41,low_cardinality
gender,string,134417,134417,0,0.0,3,Female,33.4,low_cardinality
