column,category_value,row_count,share_pct,default_count,default_rate_pct,is_missing_category,rare_category_flag
employment_type,Unknown,79686,59.28,6683,8.39,False,False
employment_type,Salaried,44817,33.34,4019,8.97,False,False
employment_type,Self-Employed,9914,7.38,1451,14.64,False,False
gender,Female,44898,33.4,4059,9.04,False,False
gender,Other,44850,33.37,4091,9.12,False,False
gender,Male,44669,33.23,4003,8.96,False,False
home,Mortgage,65490,48.72,5204,7.95,False,False
home,Rent,56442,41.99,5853,10.37,False,False
home,Own,12397,9.22,1080,8.71,False,False
home,Other/None,88,0.07,16,18.18,False,True
industry,Unknown,113583,84.5,9112,8.02,False,False
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIVf4E/iI7qK+Lfl5hxoWW2A=,67,0.05,9,13.43,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIaUIfpgwbYh438CvSsT5QB8=,51,0.04,9,17.65,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIbOy82w5K5LALfp4MHskDUE=,51,0.04,7,13.73,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIb4ADj/ykkhgM886TEQ8yrI=,40,0.03,8,20.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIS7jap0hM5abNdcL6dk7Ifw=,38,0.03,5,13.16,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIUGp9a+9oBSLvyI5Jdz9fNg=,38,0.03,3,7.89,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIfeSCTDWhw2hS0GDfQEUVwM=,35,0.03,5,14.29,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIa6KOvl8Xp6F2JH3Vt47kH0=,33,0.02,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIaRr3E4aex+4Q2JdTmjOZ70=,30,0.02,4,13.33,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSISzmgfFzT+qYrtqTHkJFqpA=,29,0.02,2,6.9,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhfABZk30mT6nuzlBzfA+t9szMup/wCQYfBw/WsldHV9k=,27,0.02,1,3.7,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIT3x0YH1KQ3dcQ7bIwp8Q2Q=,27,0.02,1,3.7,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIV56G3kjZxQ0yMeb3IU2UKE=,26,0.02,2,7.69,False,True
