column,dtype,non_null_count,missing_count,missing_pct,unique_values,unique_ratio,min,max,inferred_type,include_in_aggregation
user_id,int64,134417,0,0.0,133752,1.0,208036.0,78958941.0,likely_identifier,False
amount,float64,106779,27638,20.56,86156,0.81,5.0,8000078.0,mathematical_numeric,True
interest_rate,float64,134417,0,0.0,137,0.0,5.42,23.54,mathematical_numeric,True
tenure_years,int64,134417,0,0.0,2,0.0,4.0,6.0,low_cardinality_numeric_or_ordinal,False
record_sequence,int64,134417,0,0.0,2,0.0,1.0,2.0,low_cardinality_numeric_or_ordinal,False
total_income_pa,float64,134417,0,0.0,11380,0.08,4000.0,7141778.0,mathematical_numeric,True
dependents,int64,134417,0,0.0,5,0.0,0.0,4.0,low_cardinality_numeric_or_ordinal,False
delinq_2yrs,int64,134417,0,0.0,22,0.0,0.0,22.0,mathematical_numeric,True
total_payment,float64,134417,0,0.0,104202,0.78,0.0,57777.58,mathematical_numeric,True
received_principal,float64,134417,0,0.0,42022,0.31,0.0,35000.01,mathematical_numeric,True
interest_received,float64,134417,0,0.0,93862,0.7,0.0,24205.62,mathematical_numeric,True
number_of_loans,int64,134417,0,0.0,5,0.0,0.0,5.0,low_cardinality_numeric_or_ordinal,False
defaulter,int64,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
amount_missing_raw_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
amount_non_positive_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
industry_placeholder_zero_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
work_experience_placeholder_zero_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
amount_missing_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
employment_type_missing_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
tier_of_employment_missing_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
industry_missing_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
work_experience_missing_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
married_missing_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
social_profile_missing_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
is_verified_missing_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
loan_to_income_ratio,float64,106779,27638,20.56,104531,0.98,0.0,19.64,mathematical_numeric,True
payment_to_amount_ratio,float64,106779,27638,20.56,106764,1.0,0.0,6251.68,mathematical_numeric,True
principal_to_amount_ratio,float64,106779,27638,20.56,106248,1.0,0.0,2819.17,mathematical_numeric,True
interest_to_amount_ratio,float64,106779,27638,20.56,106695,1.0,0.0,3432.51,mathematical_numeric,True
principal_exceeds_amount_flag,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
core_data_quality_issue_count,int64,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
has_core_data_quality_issue,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
broad_data_quality_issue_count,int64,134417,0,0.0,4,0.0,0.0,3.0,low_cardinality_numeric_or_ordinal,False
has_broad_data_quality_issue,int32,134417,0,0.0,2,0.0,0.0,1.0,binary_flag,False
