column,count,missing_count,missing_pct,mean,median,std,min,max,skew
amount,106779.00,27638,20.56,137653.66,76549.00,157599.98,5.00,8000078.00,4.35
interest_rate,134417.00,0,0.00,12.02,11.84,3.88,5.42,23.54,0.36
total_income_pa,134417.00,0,0.00,72597.98,62000.00,56100.05,4000.00,7141778.00,28.74
delinq_2yrs,134417.00,0,0.00,0.28,0.00,0.80,0.00,22.00,5.42
total_payment,134417.00,0,0.00,10696.44,8061.14,8544.31,0.00,57777.58,1.60
received_principal,134417.00,0,0.00,8282.68,5869.12,7184.02,0.00,35000.01,1.56
interest_received,134417.00,0,0.00,2335.87,1627.03,2419.91,0.00,24205.62,2.85
loan_to_income_ratio,106779.00,27638,20.56,1.80,1.24,1.56,0.00,19.64,1.15
payment_to_amount_ratio,106779.00,27638,20.56,0.37,0.10,20.08,0.00,6251.68,286.60
principal_to_amount_ratio,106779.00,27638,20.56,0.27,0.07,10.24,0.00,2819.17,219.05
interest_to_amount_ratio,106779.00,27638,20.56,0.09,0.02,10.55,0.00,3432.51,323.05
