row_index,predicted_default_probability,operating_threshold,rule,condition_count,coverage,covered_rows,model_high_risk_precision,observed_default_rate
55092,0.882251501083374,0.565,Interest Rate >= 11.84 AND Amount Missing Raw Flag = 1 AND Loan Category = Business,3,0.0037196845707484004,75,1.0,0.29333333333333333
46539,0.8708446621894836,0.565,Interest Rate >= 11.84 AND Amount Missing Raw Flag = 1 AND Loan Category = Business,3,0.0037196845707484004,75,1.0,0.29333333333333333
36305,0.8808473348617554,0.565,Interest Rate >= 11.84 AND Amount Missing Raw Flag = 1 AND Amount Missing Flag = 1,3,0.10623419134057432,2142,0.9164332399626517,0.21241830065359477
54297,0.8743044137954712,0.565,Interest Rate >= 11.84 AND Amount Missing Raw Flag = 1 AND Amount Missing Flag = 1,3,0.10623419134057432,2142,0.9164332399626517,0.21241830065359477
37358,0.874059796333313,0.565,Interest Rate >= 11.84 AND Amount Missing Raw Flag = 1 AND Amount Missing Flag = 1,3,0.10623419134057432,2142,0.9164332399626517,0.21241830065359477
40982,0.8728073239326477,0.565,Interest Rate >= 11.84 AND Amount Missing Raw Flag = 1 AND Amount Missing Flag = 1,3,0.10623419134057432,2142,0.9164332399626517,0.21241830065359477
38600,0.8716622591018677,0.565,Interest Rate >= 11.84 AND Amount Missing Raw Flag = 1 AND Amount Missing Flag = 1,3,0.10623419134057432,2142,0.9164332399626517,0.21241830065359477
39808,0.8709394335746765,0.565,Interest Rate >= 11.84 AND Amount Missing Raw Flag = 1 AND Amount Missing Flag = 1,3,0.10623419134057432,2142,0.9164332399626517,0.21241830065359477
49987,0.8707937002182007,0.565,Interest Rate >= 11.84 AND Amount Missing Raw Flag = 1 AND Amount Missing Flag = 1,3,0.10623419134057432,2142,0.9164332399626517,0.21241830065359477
38470,0.8697444796562195,0.565,Interest Rate >= 11.84 AND Amount Missing Raw Flag = 1 AND Amount Missing Flag = 1,3,0.10623419134057432,2142,0.9164332399626517,0.21241830065359477
