row_index,scenario,action_type,baseline_probability,scenario_probability,probability_change,absolute_probability_reduction,operating_threshold,crosses_below_threshold
12344,Reduce interest rate to 8%,pricing_scenario,0.5654652714729309,0.4425387978553772,-0.12292647361755371,0.12292647361755371,0.565,True
16426,Reduce interest rate to 8%,pricing_scenario,0.5650284886360168,0.40959423780441284,-0.155434250831604,0.155434250831604,0.565,True
22363,Reduce interest rate to 8%,pricing_scenario,0.5651577115058899,0.44517797231674194,-0.11997973918914795,0.11997973918914795,0.565,True
30641,Reduce interest rate to 8%,pricing_scenario,0.5650632977485657,0.07004773616790771,-0.49501556158065796,0.49501556158065796,0.565,True
33414,Increase verified annual income by 30%,affordability_scenario,0.5654407739639282,0.5525371432304382,-0.01290363073348999,0.01290363073348999,0.565,True
36305,Reduce interest rate to 8%,pricing_scenario,0.8808473348617554,0.5490988492965698,-0.33174848556518555,0.33174848556518555,0.565,True
37358,Reduce interest rate to 8%,pricing_scenario,0.874059796333313,0.38654813170433044,-0.48751166462898254,0.48751166462898254,0.565,True
40982,Reduce interest rate to 8%,pricing_scenario,0.8728073239326477,0.3697815239429474,-0.5030257999897003,0.5030257999897003,0.565,True
54297,Reduce interest rate to 8%,pricing_scenario,0.8743044137954712,0.557374119758606,-0.31693029403686523,0.31693029403686523,0.565,True
55092,Reduce interest rate to 8%,pricing_scenario,0.882251501083374,0.5870149731636047,-0.2952365279197693,0.2952365279197693,0.565,False
69331,Reduce interest rate to 8%,pricing_scenario,0.5652505159378052,0.08741192519664764,-0.47783859074115753,0.47783859074115753,0.565,True
84664,Reduce interest rate to 8%,pricing_scenario,0.5654796361923218,0.07999954372644424,-0.48548009246587753,0.48548009246587753,0.565,True
86240,Reduce interest rate to 8%,pricing_scenario,0.565369188785553,0.0951266810297966,-0.4702425077557564,0.4702425077557564,0.565,True
97133,Reduce interest rate to 8%,pricing_scenario,0.5651313662528992,0.1672019511461258,-0.3979294151067734,0.3979294151067734,0.565,True
113569,Reduce interest rate to 8%,pricing_scenario,0.5652163624763489,0.09103051573038101,-0.47418584674596786,0.47418584674596786,0.565,True
