row_index,scenario,action_type,baseline_probability,scenario_probability,probability_change,absolute_probability_reduction,operating_threshold,crosses_below_threshold
4972,Reduce interest rate to 8%,pricing_scenario,0.5651105046272278,0.31709954142570496,-0.24801096320152283,0.24801096320152283,0.565,True
4972,Reduce exposure 20% and increase verified income 20%,combined_affordability_scenario,0.5651105046272278,0.5128319263458252,-0.05227857828140259,0.05227857828140259,0.565,True
4972,Increase verified annual income by 30%,affordability_scenario,0.5651105046272278,0.5201242566108704,-0.04498624801635742,0.04498624801635742,0.565,True
4972,Increase verified annual income by 20%,affordability_scenario,0.5651105046272278,0.5270958542823792,-0.03801465034484863,0.03801465034484863,0.565,True
4972,Increase verified annual income by 10%,affordability_scenario,0.5651105046272278,0.5583687424659729,-0.006741762161254883,0.006741762161254883,0.565,True
4972,Reduce requested/exposure amount by 30%,affordability_scenario,0.5651105046272278,0.5714108943939209,0.006300389766693115,-0.006300389766693115,0.565,False
4972,Reduce requested/exposure amount by 20%,affordability_scenario,0.5651105046272278,0.5815114378929138,0.016400933265686035,-0.016400933265686035,0.565,False
4972,Reduce requested/exposure amount by 10%,affordability_scenario,0.5651105046272278,0.5835102796554565,0.01839977502822876,-0.01839977502822876,0.565,False
16982,Reduce interest rate to 8%,pricing_scenario,0.565061628818512,0.08950236439704895,-0.475559264421463,0.475559264421463,0.565,True
16982,Reduce exposure 20% and increase verified income 20%,combined_affordability_scenario,0.565061628818512,0.4709520936012268,-0.09410953521728516,0.09410953521728516,0.565,True
16982,Increase verified annual income by 30%,affordability_scenario,0.565061628818512,0.47900480031967163,-0.08605682849884033,0.08605682849884033,0.565,True
16982,Increase verified annual income by 20%,affordability_scenario,0.565061628818512,0.5202694535255432,-0.04479217529296875,0.04479217529296875,0.565,True
16982,Reduce interest rate to 12%,pricing_scenario,0.565061628818512,0.5265632271766663,-0.0384984016418457,0.0384984016418457,0.565,True
16982,Increase verified annual income by 10%,affordability_scenario,0.565061628818512,0.5292324423789978,-0.03582918643951416,0.03582918643951416,0.565,True
16982,Reduce requested/exposure amount by 20%,affordability_scenario,0.565061628818512,0.5396859645843506,-0.025375664234161377,0.025375664234161377,0.565,True
16982,Reduce requested/exposure amount by 30%,affordability_scenario,0.565061628818512,0.5650358200073242,-2.580881118774414e-05,2.580881118774414e-05,0.565,False
16982,Reduce requested/exposure amount by 10%,affordability_scenario,0.565061628818512,0.5855013728141785,0.020439743995666504,-0.020439743995666504,0.565,False
30793,Reduce interest rate to 8%,pricing_scenario,0.5651975274085999,0.29633891582489014,-0.2688586115837097,0.2688586115837097,0.565,True
30793,Increase verified annual income by 30%,affordability_scenario,0.5651975274085999,0.5193130970001221,-0.04588443040847778,0.04588443040847778,0.565,True
30793,Increase verified annual income by 10%,affordability_scenario,0.5651975274085999,0.5240956544876099,-0.04110187292098999,0.04110187292098999,0.565,True
30793,Increase verified annual income by 20%,affordability_scenario,0.5651975274085999,0.5240956544876099,-0.04110187292098999,0.04110187292098999,0.565,True
30793,Reduce exposure 20% and increase verified income 20%,combined_affordability_scenario,0.5651975274085999,0.5270773768424988,-0.038120150566101074,0.038120150566101074,0.565,True
30793,Reduce requested/exposure amount by 10%,affordability_scenario,0.5651975274085999,0.5677914619445801,0.0025939345359802246,-0.0025939345359802246,0.565,False
30793,Reduce requested/exposure amount by 20%,affordability_scenario,0.5651975274085999,0.5677914619445801,0.0025939345359802246,-0.0025939345359802246,0.565,False
30793,Reduce requested/exposure amount by 30%,affordability_scenario,0.5651975274085999,0.5707078576087952,0.0055103302001953125,-0.0055103302001953125,0.565,False
39808,Reduce interest rate to 8%,pricing_scenario,0.8756508231163025,0.5024371147155762,-0.3732137084007263,0.3732137084007263,0.565,True
39808,Reduce interest rate to 12%,pricing_scenario,0.8756508231163025,0.700944721698761,-0.1747061014175415,0.1747061014175415,0.565,False
39808,Reduce interest rate to 16%,pricing_scenario,0.8756508231163025,0.7974687218666077,-0.07818210124969482,0.07818210124969482,0.565,False
39808,Increase verified annual income by 10%,affordability_scenario,0.8756508231163025,0.8680947422981262,-0.0075560808181762695,0.0075560808181762695,0.565,False
39808,Increase verified annual income by 20%,affordability_scenario,0.8756508231163025,0.8680947422981262,-0.0075560808181762695,0.0075560808181762695,0.565,False
39808,Increase verified annual income by 30%,affordability_scenario,0.8756508231163025,0.8680947422981262,-0.0075560808181762695,0.0075560808181762695,0.565,False
44808,Reduce interest rate to 8%,pricing_scenario,0.5652294754981995,0.19570080935955048,-0.369528666138649,0.369528666138649,0.565,True
44808,Reduce interest rate to 12%,pricing_scenario,0.5652294754981995,0.523155927658081,-0.04207354784011841,0.04207354784011841,0.565,True
44808,Increase verified annual income by 30%,affordability_scenario,0.5652294754981995,0.5590981245040894,-0.006131350994110107,0.006131350994110107,0.565,True
44808,Increase verified annual income by 10%,affordability_scenario,0.5652294754981995,0.5652294754981995,0.0,0.0,0.565,False
44808,Increase verified annual income by 20%,affordability_scenario,0.5652294754981995,0.5698843598365784,0.004654884338378906,-0.004654884338378906,0.565,False
