transformed_feature,raw_feature,feature_label,mean_abs_shap,mean_shap,positive_contribution_share
numeric__interest_rate,interest_rate,Interest Rate,0.6188817807818026,-0.05480244772231284,0.5426666666666666
numeric__amount_missing_flag,amount_missing_flag,Amount Missing Flag,0.35838293977826835,0.0803675895507137,0.2806666666666667
numeric__broad_data_quality_issue_count,broad_data_quality_issue_count,Broad Data Quality Issue Count,0.1705647260174155,-0.050188424689074355,0.128
numeric__total_income_pa,total_income_pa,Total Income Pa,0.13808067207853308,-0.01925551921175793,0.5393333333333333
numeric__core_data_quality_issue_count,core_data_quality_issue_count,Core Data Quality Issue Count,0.08564015401078116,-0.0659113198031652,0.702
categorical__loan_to_income_band,loan_to_income_band,Loan To Income Band,0.07313003220728327,0.023619367996395642,0.2906666666666667
numeric__high_interest_flag,high_interest_flag,High Interest Flag,0.07207349945340927,0.014623957467731088,0.3006666666666667
numeric__tenure_years,tenure_years,Tenure Years,0.05998330920209022,-0.01138994226422316,0.6326666666666667
categorical__loan_category,loan_category,Loan Category,0.0533628796699486,0.00012896220588299912,0.566
numeric__amount,amount,Amount,0.043531298705788986,-0.016451819634390026,0.5426666666666666
numeric__loan_to_income_ratio,loan_to_income_ratio,Loan To Income Ratio,0.04135549907956738,0.01854444636796446,0.7633333333333333
categorical__home,home,Home,0.03866016562832859,-0.0003258597677073946,0.4726666666666667
numeric__interest_rate_x_lti,interest_rate_x_lti,Interest Rate X Lti,0.0345511456313155,-0.019405574217710334,0.32266666666666666
numeric__has_core_data_quality_issue,has_core_data_quality_issue,Has Core Data Quality Issue,0.030685925711411984,-0.024945617890140662,0.7026666666666667
categorical__interest_rate_band,interest_rate_band,Interest Rate Band,0.023945776415172683,-0.007785427909420832,0.702
categorical__tier_of_employment,tier_of_employment,Tier Of Employment,0.02143011405166908,0.0010098955712819588,0.25
categorical__work_experience,work_experience,Work Experience,0.019114827400500266,-0.004395371091358053,0.14466666666666667
categorical__tenure_band,tenure_band,Tenure Band,0.018470308677312763,-0.002727273891165775,0.6573333333333333
categorical__amount_band,amount_band,Amount Band,0.017631890261749505,0.007522550059123508,0.32866666666666666
categorical__is_verified,is_verified,Is Verified,0.017239044783297384,-0.0008211887325063193,0.5693333333333334
categorical__employment_type,employment_type,Employment Type,0.014457946989161427,-0.0026670226766533837,0.6653333333333333
numeric__delinq_2yrs,delinq_2yrs,Delinq 2Yrs,0.01421896420741056,-0.0021345727807662723,0.8086666666666666
numeric__low_income_flag,low_income_flag,Low Income Flag,0.013401110314453641,0.0024927024176965157,0.29933333333333334
numeric__dependents,dependents,Dependents,0.013020704745370797,-0.0017873755969364236,0.5066666666666667
numeric__total_income_pa_log1p,total_income_pa_log1p,Total Income Pa Log1P,0.012693457663723772,-0.005450044008495752,0.44333333333333336
numeric__married_missing_flag,married_missing_flag,Married Missing Flag,0.010300507060601377,0.00010420164073972652,0.35533333333333333
numeric__loan_to_income_ratio_log1p,loan_to_income_ratio_log1p,Loan To Income Ratio Log1P,0.010174019975641083,-0.0014498148074538525,0.588
numeric__industry_missing_flag,industry_missing_flag,Industry Missing Flag,0.009826903317800315,3.4663974663999394e-05,0.272
numeric__amount_log1p,amount_log1p,Amount Log1P,0.008131404161996519,-0.003066678844819156,0.5386666666666666
numeric__is_verified_missing_flag,is_verified_missing_flag,Is Verified Missing Flag,0.004113925983222241,-0.00029229587847657965,0.30133333333333334
numeric__employment_type_missing_flag,employment_type_missing_flag,Employment Type Missing Flag,0.0038716630431008523,0.00020198503441254918,0.526
numeric__social_profile_missing_flag,social_profile_missing_flag,Social Profile Missing Flag,0.0036109055006551594,-0.00043748716555758925,0.62
categorical__income_band,income_band,Income Band,0.003482787568071217,0.0001164348854435957,0.756
numeric__work_experience_missing_flag,work_experience_missing_flag,Work Experience Missing Flag,0.0029082779720123048,-0.00014310062248569012,0.212
numeric__has_prior_delinquency_flag,has_prior_delinquency_flag,Has Prior Delinquency Flag,0.0024232782887799354,-0.00020786031939011687,0.8193333333333334
categorical__dependents_band,dependents_band,Dependents Band,0.002034542512551222,-0.00010464703347436929,0.7886666666666666
numeric__number_of_loans,number_of_loans,Number Of Loans,0.001987644425719433,-0.0005656837307518193,0.9946666666666667
numeric__tier_of_employment_missing_flag,tier_of_employment_missing_flag,Tier Of Employment Missing Flag,0.0019296968773287518,0.0001538647150549271,0.482
numeric__has_broad_data_quality_issue,has_broad_data_quality_issue,Has Broad Data Quality Issue,0.0003192644976467515,-0.00012569132881859937,0.128
numeric__has_existing_loans_flag,has_existing_loans_flag,Has Existing Loans Flag,6.733895173056226e-05,-1.2123271024393035e-05,0.9946666666666667
numeric__work_experience_placeholder_zero_flag,work_experience_placeholder_zero_flag,Work Experience Placeholder Zero Flag,0.0,0.0,0.0
numeric__high_amount_flag,high_amount_flag,High Amount Flag,0.0,0.0,0.0
numeric__industry_placeholder_zero_flag,industry_placeholder_zero_flag,Industry Placeholder Zero Flag,0.0,0.0,0.0
numeric__high_loan_to_income_flag,high_loan_to_income_flag,High Loan To Income Flag,0.0,0.0,0.0
numeric__multiple_loans_flag,multiple_loans_flag,Multiple Loans Flag,0.0,0.0,0.0
numeric__amount_non_positive_flag,amount_non_positive_flag,Amount Non Positive Flag,0.0,0.0,0.0
numeric__very_high_loan_to_income_flag,very_high_loan_to_income_flag,Very High Loan To Income Flag,0.0,0.0,0.0
