raw_feature,feature_label,mean_abs_shap,mean_shap,transformed_feature_count,governance_note
interest_rate,Interest Rate,0.6871345478147268,-0.0620691896236191,1,Pricing/risk signal: explain carefully because pricing can reflect prior underwriting risk.
amount_missing_flag,Amount Missing Flag,0.2079458343709508,0.0381315010264515,1,Data-quality signal: monitor for drift and do not interpret as borrower behaviour alone.
amount_missing_raw_flag,Amount Missing Raw Flag,0.1905746830292046,0.0637645072353382,1,Data-quality signal: monitor for drift and do not interpret as borrower behaviour alone.
broad_data_quality_issue_count,Broad Data Quality Issue Count,0.1393412184466918,-0.0382927262534697,1,Data-quality signal: monitor for drift and do not interpret as borrower behaviour alone.
total_income_pa,Total Income Pa,0.1314960152755035,-0.017952454500235,1,Affordability/exposure signal: suitable for portfolio-risk interpretation.
core_data_quality_issue_count,Core Data Quality Issue Count,0.0936220806436613,-0.0710466504100089,1,Data-quality signal: monitor for drift and do not interpret as borrower behaviour alone.
tenure_years,Tenure Years,0.0666380570969922,-0.0130465803089173,1,Segment/product signal: monitor segment stability and business reasonableness.
loan_category,Loan Category,0.0549636250991946,0.0003773343812548,1,Segment/product signal: monitor segment stability and business reasonableness.
amount,Amount,0.0447247931860232,-0.0053488203092322,1,Affordability/exposure signal: suitable for portfolio-risk interpretation.
interest_rate_band,Interest Rate Band,0.0389256909141792,0.0126825081356946,1,Review for business reasonableness and stability.
home,Home,0.0387107392070562,0.0031184071308913,1,Segment/product signal: monitor segment stability and business reasonableness.
loan_to_income_band,Loan To Income Band,0.0375388948497323,0.0085429587133112,1,Affordability/exposure signal: suitable for portfolio-risk interpretation.
