score_decile,row_count,average_score,min_score,max_score,observed_default_rate,review_rate_at_threshold
"(0.00869, 0.117]",2017,0.08008403,0.009686523,0.116574064,0.014873574615765989,0.0
"(0.117, 0.188]",2016,0.15138812,0.116587624,0.18800992,0.018849206349206348,0.0
"(0.188, 0.268]",2016,0.22710401,0.18807359,0.26794687,0.029265873015873016,0.0
"(0.268, 0.345]",2016,0.3076163,0.26797667,0.3449311,0.042162698412698416,0.0
"(0.345, 0.416]",2017,0.38023725,0.34496275,0.4164307,0.04610808130887457,0.0
"(0.416, 0.487]",2016,0.4528391,0.41643187,0.48709852,0.07539682539682539,0.0
"(0.487, 0.558]",2016,0.5215159,0.48714897,0.5578304,0.11656746031746032,0.0
"(0.558, 0.632]",2016,0.5957321,0.5578363,0.6318815,0.1284722222222222,0.9112103174603174
"(0.632, 0.705]",2016,0.6687567,0.63190776,0.70454884,0.1775793650793651,1.0
"(0.705, 0.883]",2017,0.76257485,0.7045567,0.88306034,0.25483391175012393,1.0
